Date,Species.ID,Length,Gear.Type,Data.Type,Year,Length Type,Sex,Special,MPA,FisheryDependent
6/15/15,ACANCH,18,pots,Fishery,2015,0,0,0,0,1
6/15/15,ACANCH,24.5,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJSY,24,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJSY,26,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJSY,23.5,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJSY,28.5,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJSY,26,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJSY,30.5,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJSY,30,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJSY,25,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJMA,30.5,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJMA,28.5,pots,Fishery,2015,0,0,0,0,1
6/15/15,LUTJMA,23.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,LUTJMA,26,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,33.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,35.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,31,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,28,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,28.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,30,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,35.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,26,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,36.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,29.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,BALIVE,28,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,43,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,33,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,32,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,28,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,25.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,30.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,33.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,29,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,28,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,32,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,30.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,37,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,40,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,35.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,SERRGU,32,pots,Fishery,2015,0,0,0,0,1
6/16/15,HOLOAD,29.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,HOLOAD,28.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,HOLOAD,27.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,HOLOAD,25.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,HOLOAD,27,pots,Fishery,2015,0,0,0,0,1
6/16/15,HOLOAD,26.5,pots,Fishery,2015,0,0,0,0,1
6/16/15,HOLOAD,25.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCH,17,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCH,19.5,pots,Fishery,2015,0,0,0,0,1
