"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"1","MNI Fishery","Coryphaena hippurus","BAU",1,"no_CS","illegal_fishing",2,168678.164151219,0
"2","MNI Fishery","Coryphaena hippurus","30& MPA",1,"no_CS","illegal_fishing",2,126896.438119114,0
"3","MNI Fishery","Coryphaena hippurus","BAU",1,"CS","illegal_fishing",2,168678.164151219,0
"4","MNI Fishery","Coryphaena hippurus","30& MPA",1,"CS","illegal_fishing",2,126896.438119114,0
"5","MNI Fishery","Coryphaena hippurus","BAU",1,"no_CS","no_illegal_fishing",2,168678.164151219,0
"6","MNI Fishery","Coryphaena hippurus","30& MPA",1,"no_CS","no_illegal_fishing",2,126896.438119114,0
"7","MNI Fishery","Coryphaena hippurus","BAU",1,"CS","no_illegal_fishing",2,168678.164151219,0
"8","MNI Fishery","Coryphaena hippurus","30& MPA",1,"CS","no_illegal_fishing",2,126896.438119114,0
"9","MNI Fishery","Lutjanus analis","BAU",1,"no_CS","illegal_fishing",2,16491.7679727185,0
"10","MNI Fishery","Lutjanus analis","30& MPA",1,"no_CS","illegal_fishing",2,17123.4250788083,0
"11","MNI Fishery","Lutjanus analis","BAU",1,"CS","illegal_fishing",2,16491.7679727185,0
"12","MNI Fishery","Lutjanus analis","30& MPA",1,"CS","illegal_fishing",2,17123.4250788083,0
"13","MNI Fishery","Lutjanus analis","BAU",1,"no_CS","no_illegal_fishing",2,16491.7679727185,0
"14","MNI Fishery","Lutjanus analis","30& MPA",1,"no_CS","no_illegal_fishing",2,17123.4250788083,0
"15","MNI Fishery","Lutjanus analis","BAU",1,"CS","no_illegal_fishing",2,16491.7679727185,0
"16","MNI Fishery","Lutjanus analis","30& MPA",1,"CS","no_illegal_fishing",2,17123.4250788083,0
"17","MNI Fishery","Sarda sarda","BAU",1,"no_CS","illegal_fishing",2,7713.71482000317,0
"18","MNI Fishery","Sarda sarda","30& MPA",1,"no_CS","illegal_fishing",2,5468.48136678119,0
"19","MNI Fishery","Sarda sarda","BAU",1,"CS","illegal_fishing",2,7713.71482000317,0
"20","MNI Fishery","Sarda sarda","30& MPA",1,"CS","illegal_fishing",2,5468.48136678119,0
"21","MNI Fishery","Sarda sarda","BAU",1,"no_CS","no_illegal_fishing",2,7713.71482000317,0
"22","MNI Fishery","Sarda sarda","30& MPA",1,"no_CS","no_illegal_fishing",2,5468.48136678119,0
"23","MNI Fishery","Sarda sarda","BAU",1,"CS","no_illegal_fishing",2,7713.71482000317,0
"24","MNI Fishery","Sarda sarda","30& MPA",1,"CS","no_illegal_fishing",2,5468.48136678119,0
"25","MNI Fishery","Acanthocybium solandri","BAU",1,"no_CS","illegal_fishing",2,199450.87769803,0
