"","Output.Year","Output.Method","Output.SampleSize","Output.Value","Output.LowerCI","Output.UpperCI","Output.SD","Output.Metric","Output.Flag","Output.Species","Details.V1","Details.V2","Details.V3","Details.V4","Details.V5","Details.V6","Details.V7","Details.V8","Details.V9","Details.V10","Details.Year","Details.FvFmsy","Details.LowerFvFmsy","Details.UpperFvFmsy","Details.BvBmsy","Details.BvK","Details.LowerBvBmsy","Details.UpperBvBmsy","Details.Species"
"1",1994,"CatchMSY",701.717,0.64225780849427,0.504767668237101,0.84118546915636,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,0.509518502094161,0.266923578266506,0.700638946050725,1.30098264272069,0.650491321360344,0.905403031405124,1.96305624387785,"Blue tang"
"2",1995,"CatchMSY",1642.468,1.5032953429972,1.18148020144026,1.96891370047228,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,1.11809762141859,0.663535894591208,1.5667994532635,1.41500884084418,0.707504420422091,0.984571791787777,1.87366453642961,"Blue tang"
"3",1996,"CatchMSY",1502.767,1.37543174826534,1.08098876683002,1.80144668566915,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,1.13554102241558,0.729854572989461,1.53847761345035,1.23270474104999,0.616352370524994,0.904867478502103,1.66033357725674,"Blue tang"
"4",1997,"CatchMSY",1124.921,1.02960209912142,0.809191953623681,1.34850260026313,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,0.925434858682481,0.564498373757783,1.26191847207811,1.1413583896645,0.570679194832249,0.84191012421983,1.59718314848425,"Blue tang"
"5",1998,"CatchMSY",763.415,0.698727898670907,0.549149029376838,0.91514614144449,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,0.635798061510642,0.374091130688127,0.839114130992108,1.1508202001127,0.575410100056352,0.850515772364785,1.49217596571063,"Blue tang"
"6",1999,"CatchMSY",965.253,0.883463385413948,0.694337611984414,1.15710008117173,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,0.751275165955999,0.471065641662001,0.984467059017268,1.22651141904738,0.613255709523692,0.95700993183106,1.55089484506211,"Blue tang"
"7",2000,"CatchMSY",684.942,0.626904219030866,0.492700869748997,0.821076384945635,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,0.511893095998406,0.328189460176144,0.731440102667215,1.21822715049014,0.609113575245068,0.982011944677763,1.5925194089945,"Blue tang"
"8",2001,"CatchMSY",1251.942,1.14586011922461,0.900562255308184,1.50076942503396,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,0.889973627455232,0.495566604276984,1.30582336201381,1.30693274860025,0.653466374300123,0.998847933973688,1.70921545932272,"Blue tang"
"9",2002,"CatchMSY",1058.709,0.969000497598263,0.761563526708963,1.26913075622375,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,0.771398201463225,0.417091624268085,1.16273076778164,1.25024269768063,0.625121348840317,0.956641831685832,1.61128839568355,"Blue tang"
"10",2003,"CatchMSY",783.364,0.716986542856031,0.563498988425375,0.939060068175922,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,0.574713249238843,0.313383695762261,0.875883682490037,1.24817522815751,0.624087614078754,0.952505871830508,1.63829607626763,"Blue tang"
"11",2004,"CatchMSY",1059.163,0.969416028424873,0.76189010355031,1.26967499015708,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,0.739049797854723,0.415315866720142,1.14018809991747,1.30648846331709,0.653244231658543,1.01000917459453,1.67143486685283,"Blue tang"
"12",2005,"CatchMSY",2885.808,2.64128234290352,2.07585476073684,3.45937145084867,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2.03951319259505,1.2172329103185,3.13416846458243,1.29689609362359,0.648448046811795,1.05257850544107,1.66359338901062,"Blue tang"
"13",2006,"CatchMSY",2448.077,2.24064198109099,1.7609807357594,2.93464003262839,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2.42133906464614,1.89441989405451,3.48644885758434,0.895063464053175,0.447531732026588,0.752581264323694,1.0761565039995,"Blue tang"
"14",2007,"CatchMSY",1436.099,1.3144127853833,1.03303232440946,1.72152821019012,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2.1330050870512,1.59816350651578,2.77487831085161,0.618745235003283,0.309372617501642,0.469918978604021,0.759260371876701,"Blue tang"
"15",2008,"CatchMSY",943.944,0.86395997928127,0.679009361076335,1.13155585014661,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1.75015374327603,1.23721923583937,2.21140914470427,0.508231333885253,0.254115666942626,0.34376467304616,0.679750162577605,"Blue tang"
"16",2009,"CatchMSY",692.656,0.633964582018687,0.498249798722901,0.830323566799676,0.157308321470209,"Catch/MSY",NA,"Blue tang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1.33532129583374,0.784749646697675,1.81466264924285,0.479711150987115,0.239855575493558,0.302375767347915,0.727042761021219,"Blue tang"
