"","scenarios","Year","Biomass","relative"
"1","",100,1883.97774996289,0.0181722906612062
"2","scen1",100,1883.97774996289,0.0181722906612062
"3","scen2",100,1883.97774996289,0.0181722906612062
"4","scen3",100,1883.97774996289,0.0181722906612062
"5","scen4",100,1883.97774996289,0.0181722906612062
"6","scen5",100,1883.97774996289,0.0181722906612062
"7","scen6",100,1883.97774996289,0.0181722906612062
"8","scen7",100,1883.97774996289,0.0181722906612062
"9","",101,1875.42772916449,0.0180898196961903
"10","scen1",101,1875.42772916449,0.0180898196961903
"11","scen2",101,1971.51576424532,0.0190166563865851
"12","scen3",101,2067.60381860396,0.0199434932629278
"13","scen4",101,2195.72127911287,0.0211792762923131
"14","scen5",101,2284.26907123494,0.0220333820352721
"15","scen6",101,2345.60329947454,0.0226249938115113
"16","scen7",101,2427.38230550187,0.0234138098511606
"17","",102,1867.07527812473,0.0180092544304747
"18","scen1",102,1867.07527812473,0.0180092544304747
"19","scen2",102,2065.33908358182,0.0199216483005371
"20","scen3",102,2263.59340733959,0.0218339507129398
"21","scen4",102,2527.91827428407,0.0243835499909538
"22","scen5",102,2614.65284053187,0.0252201658948622
"23","scen6",102,2751.84577430973,0.0265434882479654
"24","scen7",102,2934.76384224227,0.0283078616848182
"25","",103,1858.91447792949,0.017930537771969
"26","scen1",103,1858.91447792949,0.017930537771969
"27","scen2",103,2179.03704669384,0.0210183451342972
"28","scen3",103,2498.83588683013,0.0241030299062844
"29","scen4",103,2924.747937202,0.0282112512351298
"30","scen5",103,2949.08138202305,0.0284459644275151
"31","scen6",103,3182.62926828943,0.0306986980771702
"32","scen7",103,3493.82223613113,0.0337003731571727
"33","",104,1850.93963845904,0.0178536148354661
"34","scen1",104,1850.93963845904,0.0178536148354661
"35","scen2",104,2317.62672103712,0.0223551400326751
"36","scen3",104,2787.48454143486,0.0268872492265744
"37","scen4",104,3418.07719499799,0.0329697589534521
"38","scen5",104,3396.22962914521,0.0327590238123793
"39","scen6",104,3757.93712660253,0.0362479470643982
"40","scen7",104,4238.9404706164,0.0408875626737675
"41","",105,1843.14528743894,0.0177784328370292
"42","scen1",105,1843.14528743894,0.0177784328370292
"43","scen2",105,2474.94896769401,0.0238726237682337
"44","scen3",105,3121.62244958965,0.0301102443962551
"45","scen4",105,4003.31795201405,0.0386148177358553
"46","scen5",105,3896.64583204312,0.0375858901014408
"47","scen6",105,4424.7576181134,0.0426798997723442
"48","scen7",105,5129.92931130321,0.0494817767982022
"49","",106,1835.52616011364,0.0177049409943879
"50","scen1",106,1835.52616011364,0.0177049409943879
"51","scen2",106,2650.60511217141,0.025566950845044
"52","scen3",106,3502.8221413111,0.0337871835735149
"53","scen4",106,4687.11976231744,0.0452105672088716
"54","scen5",106,4427.71809877919,0.0427084556908824
"55","scen6",106,5163.20545372772,0.0498027485996122
"56","scen7",106,6153.02981412732,0.0593503008364038
"57","",107,1828.07718950219,0.0176330904329464
"58","scen1",107,1828.07718950219,0.0176330904329464
"59","scen2",107,2848.79486488453,0.0274786304242992
"60","scen3",107,3941.29956656693,0.0380166067820868
"61","scen4",107,5489.13941020708,0.0529466108844064
"62","scen5",107,5031.25784039708,0.0485300210519837
"63","scen6",107,6018.79990114669,0.0580555589031934
"64","scen7",107,7358.48014167528,0.0709777172059863
"65","",108,1820.79349719786,0.0175628340970403
"66","scen1",108,1820.79349719786,0.0175628340970403
"67","scen2",108,3067.85206736354,0.0295915912355177
"68","scen3",108,4436.26597112932,0.0427909059326034
"69","scen4",108,6411.92189867886,0.0618474971066086
"70","scen5",108,5709.96105202833,0.0550765909542557
"71","scen6",108,6997.13119265892,0.0674922524058973
"72","scen7",108,8755.9080150421,0.0844568920494223
"73","",109,1813.67038467685,0.0174941266661023
"74","scen1",109,1813.67038467685,0.0174941266661023
"75","scen2",109,3304.38265389422,0.0318730951273688
"76","scen3",109,4982.37599152369,0.0480585212342168
