"","scenarios","Year","Yield","relative"
"1","scen",100,751.415435008599,0.132818660821122
"2","scen",101,747.938807744708,0.132204139271723
"3","scen",102,744.5431050822,0.13160392178993
"4","scen",103,741.225879983994,0.131017575842457
"5","scen",104,737.984780944135,0.130444685781904
"6","scen",105,734.817547371017,0.129884852030705
"7","scen",106,731.722005235794,0.129337690311954
"8","scen",107,728.696062968365,0.128802830923981
"9","scen",108,725.737707584692,0.128279918055831
"10","scen",109,722.845001030369,0.127768609140957
"11","scen",110,720.016076726516,0.127268574246681
"12","scen",111,717.249136305059,0.126779495497127
"13","scen",112,714.542446521391,0.126301066527511
"14","scen",113,711.894336333302,0.125832991967817
"15","scen",114,709.303194135803,0.125374986954032
"16","scen",115,706.767465142263,0.124926776665241
"17","scen",116,704.28564890288,0.124488095884995
"18","scen",117,701.856296952189,0.124058688585489
"19","scen",118,699.478010577832,0.123638307533179
"20","scen",119,697.149438703378,0.123226713914547
"21","scen",120,694.869275878444,0.122823676980846
"22","scen",121,692.636260369836,0.122428973710686
"23","scen",122,690.449172347834,0.122042388489454
"24","scen",123,688.306832162141,0.121663712804566
"25","scen",124,686.208098702365,0.121292744955676
"26","scen",125,684.151867838245,0.120929289778969
"27","scen",126,682.137070935131,0.120573158384762
"28","scen",127,680.162673440515,0.120224167907663
"29","scen",128,678.227673537688,0.119882141268591
"30","scen",129,676.331100862824,0.119546906948015
"31","scen",130,674.472015282038,0.119218298769786
"32","scen1",100,751.415435008599,0.132818660821122
"33","scen1",101,747.938807744708,0.132204139271723
"34","scen1",102,744.5431050822,0.13160392178993
"35","scen1",103,741.225879983994,0.131017575842457
"36","scen1",104,737.984780944135,0.130444685781904
"37","scen1",105,734.817547371017,0.129884852030705
"38","scen1",106,731.722005235794,0.129337690311954
"39","scen1",107,728.696062968365,0.128802830923981
"40","scen1",108,725.737707584692,0.128279918055831
"41","scen1",109,722.845001030369,0.127768609140957
"42","scen1",110,720.016076726516,0.127268574246681
"43","scen1",111,717.249136305059,0.126779495497127
"44","scen1",112,714.542446521391,0.126301066527511
"45","scen1",113,711.894336333302,0.125832991967817
"46","scen1",114,709.303194135803,0.125374986954032
"47","scen1",115,706.767465142263,0.124926776665241
"48","scen1",116,704.28564890288,0.124488095884995
"49","scen1",117,701.856296952189,0.124058688585489
"50","scen1",118,699.478010577832,0.123638307533179
"51","scen1",119,697.149438703378,0.123226713914547
"52","scen1",120,694.869275878444,0.122823676980846
"53","scen1",121,692.636260369836,0.122428973710686
"54","scen1",122,690.449172347834,0.122042388489454
"55","scen1",123,688.306832162141,0.121663712804566
"56","scen1",124,686.208098702365,0.121292744955676
"57","scen1",125,684.151867838245,0.120929289778969
"58","scen1",126,682.137070935131,0.120573158384762
"59","scen1",127,680.162673440515,0.120224167907663
"60","scen1",128,678.227673537688,0.119882141268591
"61","scen1",129,676.331100862824,0.119546906948015
"62","scen1",130,674.472015282038,0.119218298769786
"63","scen2",100,751.415435008599,0.132818660821122
"64","scen2",101,673.138247294768,0.118982544658728
"65","scen2",102,670.082141725779,0.118442353667048
"66","scen2",103,667.096665375549,0.117914646952125
"67","scen2",104,673.076222501059,0.118971581282606
"68","scen2",105,690.772023416844,0.122099454986405
