"","Output.Year","Output.Method","Output.SampleSize","Output.Value","Output.LowerCI","Output.UpperCI","Output.SD","Output.Metric","Output.Flag","Output.Species","Details.V1","Details.V2","Details.V3","Details.V4","Details.V5","Details.V6","Details.V7","Details.V8","Details.V9","Details.V10","Details.Year","Details.FvFmsy","Details.LowerFvFmsy","Details.UpperFvFmsy","Details.BvBmsy","Details.BvK","Details.LowerBvBmsy","Details.UpperBvBmsy","Details.Species"
"1",1994,"CatchMSY",1316.341361,1.49955566420151,1.00862540284919,2.6545938800331,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,1.71980657928934,0.896164008174191,2.53120424999095,0.888374436269056,0.444187218134528,0.554833025757255,1.33613523887586,"Doctorfish"
"2",1995,"CatchMSY",348.8153006,0.39736498090246,0.267274115598982,0.703436805731933,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,0.471373042364698,0.258657312678989,0.680773859650155,0.848719763640765,0.424359881820383,0.491621438629611,1.3599869090323,"Doctorfish"
"3",1996,"CatchMSY",233.1455326,0.265595775041219,0.178644015684898,0.470171888792467,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,0.28564892299317,0.144313303198364,0.446588130705042,0.924374499890308,0.462187249945154,0.545686087406177,1.56282749237809,"Doctorfish"
"4",1997,"CatchMSY",454.2830892,0.517512250046833,0.348087112832067,0.916127946839505,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,0.506887263830876,0.255957943574161,0.854903436024498,1.02449084356793,0.512245421783963,0.622781186029228,1.57058129784745,"Doctorfish"
"5",1998,"CatchMSY",785.6464248,0.894996223072039,0.601988940854169,1.58437032591576,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,0.825888677397269,0.411392870224366,1.43852731586097,1.0813097954483,0.54065489772415,0.649279041016267,1.63167155032685,"Doctorfish"
"6",1999,"CatchMSY",1063.221868,1.21120586323528,0.814676661162489,2.14414159391453,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,1.09483917824624,0.577508144221076,1.82436296960773,1.0992147655215,0.549607382760748,0.664222654167432,1.55355184247081,"Doctorfish"
"7",2000,"CatchMSY",1033.299928,1.17711925322645,0.791749455742459,2.0837996483098,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1.07529345069049,0.57565860491903,1.8823089080981,1.08187193872229,0.540935969361144,0.646139860088279,1.48519461464446,"Doctorfish"
"8",2001,"CatchMSY",1619.799752,1.84525075709735,1.24114551574591,3.26656187819835,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,1.69653155107267,0.893029122118375,3.04422912349239,1.09527801083485,0.547639005417424,0.694253040140373,1.49557625614734,"Doctorfish"
"9",2002,"CatchMSY",1436.089121,1.63597045530633,1.10038019856459,2.89608266118192,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,1.58823314085285,0.82204509583853,2.77449536578335,1.01181138580491,0.505905692902456,0.648184170534895,1.44838605807822,"Doctorfish"
"10",2003,"CatchMSY",1516.833959,1.72795372253873,1.16224963241256,3.05891637525456,0.29927275774004,"Catch/MSY",NA,"Doctorfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,1.74066756876103,0.933617554196123,3.13735754695085,0.965683346447539,0.482841673223769,0.633052857777196,1.36598343605099,"Doctorfish"
