"","Output.Year","Output.Method","Output.SampleSize","Output.Value","Output.LowerCI","Output.UpperCI","Output.SD","Output.Metric","Output.Flag","Output.Species","Details.V1","Details.V2","Details.V3","Details.V4","Details.V5","Details.V6","Details.V7","Details.V8","Details.V9","Details.V10","Details.Year","Details.FvFmsy","Details.LowerFvFmsy","Details.UpperFvFmsy","Details.BvBmsy","Details.BvK","Details.LowerBvBmsy","Details.UpperBvBmsy","Details.Species"
"1",1994,"CatchMSY",1941.86,1.26608756459343,0.956244497541203,1.60215466237642,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,1.28984475312743,1.00033477711416,1.63043001572008,1.03974380622296,0.519871903111482,0.551248883099599,1.33630903459329,"Old wife"
"2",1995,"CatchMSY",2605.933,1.69906139755887,1.28325888179943,2.15005598024088,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,1.8348982344523,1.39603305928486,2.33460094928257,0.979543582437788,0.489771791218894,0.502362152189292,1.32075438383923,"Old wife"
"3",1996,"CatchMSY",2171.605,1.41588069464788,1.069379528948,1.79170850400644,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,1.78728534465683,1.35762514758809,2.25803044242341,0.822550220028859,0.411275110014429,0.387970469076671,1.17210159285411,"Old wife"
"4",1997,"CatchMSY",1443.123,0.940912364680652,0.710647743928581,1.19066577551041,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,1.33180957319884,0.96781168099506,1.71697885790805,0.729366743156753,0.364683371578377,0.309543756935409,1.05672719027079,"Old wife"
"5",1998,"CatchMSY",792.888,0.51696087097698,0.390447708468401,0.654181663941949,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,0.734155399676819,0.554692691831488,0.93538351203067,0.752699627479436,0.376349813739718,0.297828803486395,1.04938642902068,"Old wife"
"6",1999,"CatchMSY",1244.215,0.811224876757655,0.612698004752262,1.02655436707521,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,1.03180403489018,0.755555047389168,1.37406081847012,0.826167698325153,0.413083849162577,0.362106869917749,1.15106499634673,"Old wife"
"7",2000,"CatchMSY",1275.978,0.83193426843068,0.628339294018945,1.05276080757096,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1.02592484193746,0.801702013592068,1.33372775234371,0.846482432152985,0.423241216076493,0.385943408533312,1.21421041935174,"Old wife"
"8",2001,"CatchMSY",1564.471,1.02003093851619,0.770404038042281,1.29078538452962,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,1.22769302726968,0.857597470215987,1.57669506160951,0.876715289143245,0.438357644571622,0.443371257155012,1.20468053729463,"Old wife"
"9",2002,"CatchMSY",1359.44,0.88635127084903,0.669439104640609,1.12162212220294,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,1.04925846210253,0.781228428458636,1.35455334516971,0.873812358557192,0.436906179278596,0.51504097002991,1.18514456150302,"Old wife"
"10",2003,"CatchMSY",1768.132,1.15281736982054,0.870694332200325,1.45881831208065,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,1.34616309398564,0.962539516845789,1.71182479572354,0.886126548363588,0.443063274181794,0.472828824826405,1.1303052859235,"Old wife"
"11",2004,"CatchMSY",1615.267,1.05314979565887,0.795417888421352,1.33269522778819,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1.27253741665061,0.966446346847415,1.72639370983448,0.832583934875753,0.416291967437876,0.479187723694577,1.0969817251048,"Old wife"
"12",2005,"CatchMSY",3185.633,2.07702425852455,1.56872484496085,2.62834435210065,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2.51515542685774,1.97368854939367,3.25916968793367,0.835921013910816,0.417960506955408,0.553119585816599,1.12643997454772,"Old wife"
"13",2006,"CatchMSY",2296.12,1.49706414407541,1.13069537232051,1.89444108399974,0.158095302038084,"Catch/MSY",NA,"Old wife",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2.41090533765649,1.73138184863782,3.27178916164613,0.623301324466568,0.311650662233284,0.394329500112808,0.837856385467227,"Old wife"
