"","scenarios","Year","Biomass","relative"
"1","",100,3512.55034879038,0.0691295400267472
"2","scen1",100,3512.55034879038,0.0691295400267472
"3","scen2",100,3512.55034879038,0.0691295400267472
"4","scen3",100,3512.55034879038,0.0691295400267472
"5","scen4",100,3512.55034879038,0.0691295400267472
"6","scen5",100,3512.55034879038,0.0691295400267472
"7","scen6",100,3512.55034879038,0.0691295400267472
"8","scen7",100,3512.55034879038,0.0691295400267472
"9","",101,3510.07660872081,0.0690808550269111
"10","scen1",101,3510.07660872081,0.0690808550269111
"11","scen2",101,3684.41848158329,0.0725120296099418
"12","scen3",101,3858.76041777556,0.0759432054393486
"13","scen4",101,4091.21651219137,0.0805181100777727
"14","scen5",101,4948.84581109227,0.0973968770873041
"15","scen6",101,4982.68347600113,0.0980628268897131
"16","scen7",101,5027.80039742959,0.0989507606461206
"17","",102,3507.70200467165,0.0690341210959027
"18","scen1",102,3507.70200467165,0.0690341210959027
"19","scen2",102,3843.91959451449,0.0756511272671428
"20","scen3",102,4179.86693378428,0.0822628147109762
"21","scen4",102,4627.40214431767,0.0910706324439236
"22","scen5",102,6151.48671011731,0.121065722772487
"23","scen6",102,6230.26238187038,0.122616085162442
"24","scen7",102,6335.22946941908,0.124681913623146
"25","",103,3505.42244074329,0.068989257623445
"26","scen1",103,3505.42244074329,0.068989257623445
"27","scen2",103,4065.50618910447,0.0800121122606741
"28","scen3",103,4620.84993593477,0.0909416802278152
"29","scen4",103,5354.62717488138,0.105382948814312
"30","scen5",103,7285.97496387555,0.143393274938412
"31","scen6",103,7470.86082284234,0.14703196282006
"32","scen7",103,7716.48384876544,0.151866002226183
"33","",104,3503.23399974414,0.0689461875163648
"34","scen1",104,3503.23399974414,0.0689461875163648
"35","scen2",104,4401.2614171324,0.0866200188158469
"36","scen3",104,5286.56304046106,0.104043397252748
"37","scen4",104,6449.63447117036,0.126933487084734
"38","scen5",104,9198.77805755193,0.181038628000219
"39","scen6",104,9525.49082261711,0.1874685723219
"40","scen7",104,9957.30853824468,0.195967058348446
"41","",105,3501.13293466777,0.0689048370308564
"42","scen1",105,3501.13293466777,0.0689048370308564
"43","scen2",105,4787.90294984886,0.094229404776999
"44","scen3",105,6063.28245035468,0.119329798927896
"45","scen4",105,7747.25257261437,0.15247155304131
"46","scen5",105,11739.6493667332,0.231044819350999
