"","Output.Year","Output.Method","Output.SampleSize","Output.Value","Output.LowerCI","Output.UpperCI","Output.SD","Output.Metric","Output.Flag","Output.Species","Details.V1","Details.V2","Details.V3","Details.V4","Details.V5","Details.V6","Details.V7","Details.V8","Details.V9","Details.V10","Details.Year","Details.FvFmsy","Details.LowerFvFmsy","Details.UpperFvFmsy","Details.BvBmsy","Details.BvK","Details.LowerBvBmsy","Details.UpperBvBmsy","Details.Species"
"1",1995,"CatchMSY",3371.836,1.34794983105178,1.12159438403483,1.61862719274499,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,1.49014151671237,0.95665623957679,1.95338345848779,0.925972178449615,0.462986089224808,0.567651596196383,1.3484240367518,"Red hind"
"2",1996,"CatchMSY",2723.419,1.08873390667079,0.905907480605151,1.30735897316428,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,1.33148106297082,0.836365305810201,1.80264051308315,0.856576599727688,0.428288299863844,0.495121912643554,1.18521093490536,"Red hind"
"3",1997,"CatchMSY",2109.923,0.843478256766423,0.701836562497677,1.01285434475404,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,1.06208995543412,0.625546640689821,1.46948174709296,0.821999808251145,0.410999904125572,0.477107646542141,1.21543252890238,"Red hind"
"4",1998,"CatchMSY",2338.313,0.93478111429387,0.777807321861334,1.12249142809707,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,1.12897434068217,0.652314329733827,1.60306226726439,0.860620300262676,0.430310150131338,0.485710541941847,1.32147837963191,"Red hind"
"5",1999,"CatchMSY",1791.256,0.71608560516303,0.595836413742748,0.859880394766418,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,0.846745822116116,0.507194338397747,1.19960188964432,0.871473853602128,0.435736926801064,0.478512512432186,1.38454277780172,"Red hind"
"6",2000,"CatchMSY",1582.605,0.632673754705657,0.526431558398878,0.75971888560837,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,0.713685114389013,0.392494642516267,0.987326944832248,0.929135618130635,0.464567809065317,0.533748689081348,1.5423254144275,"Red hind"
"7",2001,"CatchMSY",2723.637,1.08882105594589,0.905979995275414,1.30746362259801,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,1.12197666466096,0.654280353435151,1.58699789043534,1.01139164235837,0.505695821179183,0.5666932899175,1.58873962061538,"Red hind"
"8",2002,"CatchMSY",2120.578,0.847737777528956,0.705380800165788,1.01796920583824,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,0.889633732200737,0.541090610189362,1.1792990912637,0.991900308492636,0.495950154246318,0.545482836840223,1.4999358921897,"Red hind"
"9",2003,"CatchMSY",2736.564,1.09398884805263,0.910279982167545,1.31366914200068,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,1.10376831171964,0.648659353316014,1.49563393161454,1.02123443513864,0.510617217569319,0.604164905261068,1.47553541179347,"Red hind"
"10",2004,"CatchMSY",3086.281,1.23379427484858,1.02660848189336,1.48154843564521,0.114602083613283,"Catch/MSY",NA,"Red hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1.29330617903814,0.781439730303699,1.76602990281281,0.958800942870845,0.479400471435422,0.607621808210795,1.39121549423098,"Red hind"
