"","scenarios","Year","Biomass","relative"
"1","",100,0.0291775576026698,1.66248221130305e-07
"2","scen1",100,0.0291775576026698,1.66248221130305e-07
"3","scen2",100,0.0291775576026698,1.66248221130305e-07
"4","scen3",100,0.0291775576026698,1.66248221130305e-07
"5","scen4",100,0.0291775576026698,1.66248221130305e-07
"6","scen5",100,0.0291775576026698,1.66248221130305e-07
"7","scen6",100,0.0291775576026698,1.66248221130305e-07
"8","scen7",100,0.0291775576026698,1.66248221130305e-07
"9","",101,0.0251754639045251,1.43445045923739e-07
"10","scen1",101,0.0251754639045251,1.43445045923739e-07
"11","scen2",101,0.0260590201918984,1.48479383034631e-07
"12","scen3",101,0.0269425764917015,1.53513720216346e-07
"13","scen4",101,0.0281206515687705,1.60226169852731e-07
"14","scen5",101,0.0325218666615074,1.853034635023e-07
"15","scen6",101,0.0326872494324009,1.86245783344182e-07
"16","scen7",101,0.0329077597956737,1.87502209811884e-07
"17","",102,0.0217223106208414,1.23769629683616e-07
"18","scen1",102,0.0217223106208414,1.23769629683616e-07
"19","scen2",102,0.0234546714876023,1.3364029522652e-07
"20","scen3",102,0.0251887958270289,1.4352100870413e-07
"21","scen4",102,0.0275009616314023,1.56695293446189e-07
"22","scen5",102,0.0358920380538176,2.04506064573493e-07
"23","scen6",102,0.0362442436335604,2.06512865550524e-07
"24","scen7",102,0.0367138510761204,2.09188600203105e-07
"25","",103,0.0187428043480769,1.06792964794833e-07
"26","scen1",103,0.0187428043480769,1.06792964794833e-07
"27","scen2",103,0.0213236254989453,1.21497997040167e-07
"28","scen3",103,0.0239108435817054,1.36239477797133e-07
"29","scen4",103,0.0273604677080887,1.55894785564461e-07
"30","scen5",103,0.0391484950373375,2.23060742386827e-07
"31","scen6",103,0.0397555465941956,2.26519607684477e-07
"32","scen7",103,0.0405649486693179,2.3113142807742e-07
"33","",104,0.0161719784063696,9.21448833664767e-08
"34","scen1",104,0.0161719784063696,9.21448833664767e-08
"35","scen2",104,0.0195995480800384,1.11674529021104e-07
"36","scen3",104,0.0230506802821171,1.31338429519362e-07
"37","scen4",104,0.0276647264718481,1.57628394625477e-07
"38","scen5",104,0.0422574254389936,2.40774841556182e-07
"39","scen6",104,0.0432205684129148,2.46262648599151e-07
"40","scen7",104,0.0445047590311486,2.53579724578604e-07
"41","",105,0.013953776615587,7.95059878548135e-08
"42","scen1",105,0.013953776615587,7.95059878548135e-08
"43","scen2",105,0.018228404640624,1.03862012263489e-07
"44","scen3",105,0.0225667867380568,1.285812953544e-07
"45","scen4",105,0.0284029750925271,1.61834796052598e-07
"46","scen5",105,0.0452845185531123,2.58022647293424e-07
"47","scen6",105,0.0467362111389467,2.66294117897973e-07
"48","scen7",105,0.0486718012103186,2.77322745125278e-07
"49","",106,0.012039831395955,6.86006889110955e-08
"50","scen1",106,0.012039831395955,6.86006889110955e-08
"51","scen2",106,0.0171706912239876,9.78353606713294e-08
"52","scen3",106,0.0224390124624532,1.27853261626746e-07
"53","scen4",106,0.029594996837654,1.68626711173617e-07
"54","scen5",106,0.0483859919568726,2.75694257894955e-07
"55","scen6",106,0.0504884514419998,2.87673675574827e-07
"56","scen7",106,0.05329173065666,3.03646231918137e-07
"57","",107,0.0103884094214502,5.9191197913405e-08
"58","scen1",107,0.0103884094214502,5.9191197913405e-08
"59","scen2",107,0.0164020979911364,9.34560613662149e-08
"60","scen3",107,0.0226707854298039,1.29173860288665e-07
"61","scen4",107,0.0312948438132164,1.78312118695703e-07
"62","scen5",107,0.0517881254684722,2.95078973094676e-07
"63","scen6",107,0.0547345585492387,3.11867193172154e-07
"64","scen7",107,0.0586631357949253,3.34251485495808e-07
"65","",108,0.00896350178922277,5.10723429235984e-08
"66","scen1",108,0.00896350178922277,5.10723429235984e-08
"67","scen2",108,0.0159131810630901,9.06703049065737e-08
"68","scen3",108,0.0232896929817551,1.32700278810639e-07
"69","scen4",108,0.0335927933436767,1.91405401789806e-07
"70","scen5",108,0.0557730293908952,3.17784204200702e-07
"71","scen6",108,0.0597917206688261,3.4068194928704e-07
"72","scen7",108,0.0651499753521976,3.71212274052542e-07
"73","",109,0.00773403888178847,4.4067095120131e-08
"74","scen1",109,0.00773403888178847,4.4067095120131e-08
"75","scen2",109,0.0156594437873299,8.9224557757206e-08
"76","scen3",109,0.0242476004148428,1.38158254729217e-07
"77","scen4",109,0.0364494766731784,2.07682244708927e-07
"78","scen5",109,0.0607891359040364,3.46365033212023e-07
"79","scen6",109,0.0660810399506474,3.7651730456118e-07
"80","scen7",109,0.0731369114054703,4.16720329566297e-07
"81","",110,0.00667321284890028,3.80227084275229e-08
"82","scen1",110,0.00667321284890028,3.80227084275229e-08
"83","scen2",110,0.0155691188722646,8.87099034239734e-08
"84","scen3",110,0.0254373814000413,1.44937402422711e-07
"85","scen4",110,0.039725442104578,2.2634807797952e-07
"86","scen5",110,0.0668452164823277,3.80871438335891e-07
"87","scen6",110,0.0736007615482908,4.19363260210633e-07
"88","scen7",110,0.0826081539766706,4.70685683719573e-07
"89","",111,0.00575789298647595,3.28073884557322e-08
"90","scen1",111,0.00575789298647595,3.28073884557322e-08
"91","scen2",111,0.0155904958420353,8.88317053666149e-08
"92","scen3",111,0.0267896692598383,1.52642483643313e-07
"93","scen4",111,0.0433445514760004,2.46969080712796e-07
"94","scen5",111,0.0737244273061363,4.20067884378855e-07
"95","scen6",111,0.0821429580449539,4.68035085023887e-07
"96","scen7",111,0.0933808794378026,5.32066641955586e-07
"97","",112,0.00496812130293319,2.83074183322542e-08
"98","scen1",112,0.00496812130293319,2.83074183322542e-08
"99","scen2",112,0.0156937727428125,8.94201576720432e-08
"100","scen3",112,0.0282764890848462,1.61114102632636e-07
"101","scen4",112,0.0472988091531773,2.69499695292454e-07
"102","scen5",112,0.0811989516417398,4.62656314552173e-07
"103","scen6",112,0.0915222283120339,5.21476398331746e-07
"104","scen7",112,0.10533569300808,6.00182915328011e-07
"105","",113,0.00428667729351508,2.44246788683006e-08
"106","scen1",113,0.00428667729351508,2.44246788683006e-08
"107","scen2",113,0.0158470898955206,9.02937298967504e-08
"108","scen3",113,0.0298598175409701,1.70135609603168e-07
"109","scen4",113,0.0515589925280655,2.93773416808447e-07
"110","scen5",113,0.0890491756139238,5.07385410408046e-07
"111","scen6",113,0.101561743514212,5.78679662775649e-07
"112","scen7",113,0.118362490132055,6.7440714884261e-07
"113","",114,0.00369870243586959,2.10745090054207e-08
"114","scen1",114,0.00369870243586959,2.10745090054207e-08
"115","scen2",114,0.0160189454044639,9.12729301794585e-08
"116","scen3",114,0.031498348904204,1.79471652328653e-07
"117","scen4",114,0.056089485222165,3.19587309852359e-07
"118","scen5",114,0.0971384376218228,5.53476499915384e-07
"119","scen6",114,0.112166579998489,6.39104021280813e-07
"120","scen7",114,0.13243365388019,7.54581986442673e-07
"121","",115,0.00319137621168302,1.81838598478622e-08
"122","scen1",115,0.00319137621168302,1.81838598478622e-08
"123","scen2",115,0.0161936827784895,9.22685507859647e-08
"124","scen3",115,0.0331816993999321,1.89063066019428e-07
"125","scen4",115,0.0609101890867087,3.47054771419569e-07
"126","scen5",115,0.105466217632538,6.00926620024793e-07
"127","scen6",115,0.123389615822955,7.03050763050882e-07
"128","scen7",115,0.147690263482269,8.41511270975836e-07
"129","",116,0.00275363657857909,1.56897019641639e-08
"130","scen1",116,0.00275363657857909,1.56897019641639e-08
"131","scen2",116,0.0163705117840192,9.32760891143563e-08
"132","scen3",116,0.0349303043018984,1.99026287011751e-07
"133","scen4",116,0.0660992438153473,3.76621026749488e-07
"134","scen5",116,0.114184743427924,6.50603135931283e-07
"135","scen6",116,0.135450168446869,7.71769517611433e-07
"136","scen7",116,0.164463221212321,9.37080421200383e-07
"137","",117,0.00237593878681466,1.35376511701682e-08
"138","scen1",117,0.00237593878681466,1.35376511701682e-08
"139","scen2",117,0.0165492763840605,9.42946560952752e-08
"140","scen3",117,0.0367667689917558,2.09490116507524e-07
"141","scen4",117,0.0717465895145037,4.0879853760827e-07
"142","scen5",117,0.123580477093767,7.04138254580748e-07
"143","scen6",117,0.148709124761587,8.47316550416006e-07
"144","scen7",117,0.183239455351509,1.04406386264102e-06
"145","",118,0.00205004727520824,1.16807827912647e-08
"146","scen1",118,0.00205004727520824,1.16807827912647e-08
"147","scen2",118,0.0167249765312389,9.52957624016533e-08
"148","scen3",118,0.0387000122406677,2.20505371982998e-07
"149","scen4",118,0.0779170302871589,4.43956545554417e-07
"150","scen5",118,0.134156478054952,7.6439831371293e-07
"151","scen6",118,0.163713796038599,9.32810337881617e-07
"152","scen7",118,0.204656930744327,1.16609659867896e-06
"153","",119,0.0017688561062071,1.00786085352635e-08
"154","scen1",119,0.0017688561062071,1.00786085352635e-08
"155","scen2",119,0.0168957981156719,9.62690715774715e-08
"156","scen3",119,0.0407388659404755,2.32122375892433e-07
"157","scen4",119,0.084666276715123,4.82412478977591e-07
"158","scen5",119,0.146279464085621,8.33472802051932e-07
"159","scen6",119,0.180883664590143,1.03064101112049e-06
"160","scen7",119,0.229239972655709,1.30616613580036e-06
"161","",120,0.00152623402542303,8.69619367084745e-09
"162","scen1",120,0.00152623402542303,8.69619367084745e-09
"163","scen2",120,0.0170623343028457,9.72179633678157e-08
"164","scen3",120,0.0428938370116293,2.44400994687236e-07
"165","scen4",120,0.0920508285097499,5.24488262578786e-07
"166","scen5",120,0.160071217297252,9.12055611104191e-07
"167","scen6",120,0.200410269419838,1.14189992325624e-06
"168","scen7",120,0.257316948609975,1.46614345023766e-06
"169","",121,0.00131689076951938,7.50339527512349e-09
"170","scen1",121,0.00131689076951938,7.50339527512349e-09
"171","scen2",121,0.0172290549586166,9.81679062254405e-08
"172","scen3",121,0.0451825009374301,2.57441370157e-07
"173","scen4",121,0.100142343562336,5.70592189509886e-07
"174","scen5",121,0.175484405358557,9.99877050171606e-07
"175","scen6",121,0.222348550802362,1.26690011361375e-06
"176","scen7",121,0.289127287726133,1.64739276396121e-06
"177","",122,0.00113626170992931,6.47420495528186e-09
"178","scen1",122,0.00113626170992931,6.47420495528186e-09
"179","scen2",122,0.017400561267784,9.9145116833675e-08
"180","scen3",122,0.0476195911501339,2.71327450620397e-07
"181","scen4",122,0.109005858491201,6.21094826157959e-07
"182","scen5",122,0.192378166307589,1.09613451435772e-06
"183","scen6",122,0.246678244391392,1.40552611976896e-06
"184","scen7",122,0.324862235565716,1.85100375811692e-06
"185","",123,0.000980408319102633,5.58618172404025e-09
"186","scen1",123,0.000980408319102633,5.58618172404025e-09
"187","scen2",123,0.0175788396343889,1.00160913348164e-07
"188","scen3",123,0.0502098274269207,2.86086128477779e-07
"189","scen4",123,0.11868464955944,6.76242752509387e-07
"190","scen5",123,0.210571878906611,1.19979885791013e-06
"191","scen6",123,0.273343439480901,1.55745937306216e-06
"192","scen7",123,0.364688378514686,2.07792561051835e-06
"193","",124,0.000845932290042713,4.8199626689596e-09
"194","scen1",124,0.000845932290042713,4.8199626689596e-09
"195","scen2",124,0.0177650579449355,1.01221950165976e-07
"196","scen3",124,0.0529559845122984,3.0173321370011e-07
"197","scen4",124,0.129223692149572,7.3629222981264e-07
"198","scen5",124,0.229934563144382,1.31012378142404e-06
"199","scen6",124,0.302344326620026,1.7227009592064e-06
"200","scen7",124,0.408849155723797,2.32954539154055e-06
"201","",125,0.000729901436731561,4.15884074703953e-09
"202","scen1",125,0.000729901436731561,4.15884074703953e-09
"203","scen2",125,0.017961386119994,1.02340591085332e-07
"204","scen3",125,0.0558669873519869,3.183195589451e-07
"205","scen4",125,0.140693386129437,8.01644383239186e-07
"206","scen5",125,0.250474633519018,1.42715722912297e-06
"207","scen6",125,0.333838351532243,1.9021479742441e-06
"208","scen7",125,0.457785899060378,2.60837772694043e-06
"209","",126,0.000629785759358642,3.58840049644843e-09
