"","scenarios","Year","Yield","relative"
"1","scen",100,0.00954802561372435,0.228710129891658
"2","scen",101,0.0082383866373818,0.197339487152709
"3","scen",102,0.00710838132328643,0.170271727531963
"4","scen",103,0.00613337113774593,0.146916668046144
"5","scen",104,0.00529209683817214,0.126765072091744
"6","scen",105,0.00456621492556974,0.109377545786968
"7","scen",106,0.00393989776516049,0.094374959398357
"8","scen",107,0.00339948859067738,0.0814301834320026
"9","scen",108,0.00293320382335916,0.0702609580848731
"10","scen",109,0.00253087619347413,0.06062374006592
"11","scen",110,0.00218373306339459,0.0523083926230555
"12","scen",111,0.00188420513125387,0.0451336032961801
"13","scen",112,0.0016257613598861,0.0389429298616378
"14","scen",113,0.00140276654468768,0.0336013885616346
"15","scen",114,0.00121035842227389,0.0289925104071588
"16","scen",115,0.00104434164257769,0.0250158014220118
"17","scen",116,0.00090109629093504,0.0215845514122218
"18","scen",117,0.0007774989621415,0.0186239434010745
"19","scen",118,0.000670854662099861,0.016069422424542
"20","scen",119,0.000578838049786904,0.0138652880615134
"21","scen",120,0.000499442737248176,0.0119634799832632
"22","scen",121,0.000430937542112166,0.0103225300411841
"23","scen",122,0.000371828739337731,0.00890665805809587
"24","scen",123,0.000320827489908168,0.00768499162635677
"25","scen",124,0.000276821736946563,0.00663089291705272
"26","scen",125,0.000238851956866102,0.00572137783137077
"27","scen",126,0.0002060902369441,0.00493661483198536
"28","scen",127,0.000177822223037033,0.00425949252481733
"29","scen",128,0.000153431543642535,0.00367524655835875
"30","scen",129,0.000132386370507507,0.00317113770109028
"31","scen",130,0.000114227822617746,0.00273617407462689
"32","scen1",100,0.00954802561372435,0.228710129891658
"33","scen1",101,0.0082383866373818,0.197339487152709
"34","scen1",102,0.00710838132328643,0.170271727531963
"35","scen1",103,0.00613337113774593,0.146916668046144
"36","scen1",104,0.00529209683817214,0.126765072091744
"37","scen1",105,0.00456621492556974,0.109377545786968
"38","scen1",106,0.00393989776516049,0.094374959398357
"39","scen1",107,0.00339948859067738,0.0814301834320026
"40","scen1",108,0.00293320382335916,0.0702609580848731
"41","scen1",109,0.00253087619347413,0.06062374006592
"42","scen1",110,0.00218373306339459,0.0523083926230555
"43","scen1",111,0.00188420513125387,0.0451336032961801
"44","scen1",112,0.0016257613598861,0.0389429298616378
"45","scen1",113,0.00140276654468768,0.0336013885616346
"46","scen1",114,0.00121035842227389,0.0289925104071588
"47","scen1",115,0.00104434164257769,0.0250158014220118
"48","scen1",116,0.00090109629093504,0.0215845514122218
"49","scen1",117,0.0007774989621415,0.0186239434010745
"50","scen1",118,0.000670854662099861,0.016069422424542
"51","scen1",119,0.000578838049786904,0.0138652880615134
"52","scen1",120,0.000499442737248176,0.0119634799832632
"53","scen1",121,0.000430937542112166,0.0103225300411841
"54","scen1",122,0.000371828739337731,0.00890665805809587
"55","scen1",123,0.000320827489908168,0.00768499162635677
"56","scen1",124,0.000276821736946563,0.00663089291705272
"57","scen1",125,0.000238851956866102,0.00572137783137077
"58","scen1",126,0.0002060902369441,0.00493661483198536
"59","scen1",127,0.000177822223037033,0.00425949252481733
"60","scen1",128,0.000153431543642535,0.00367524655835875
"61","scen1",129,0.000132386370507507,0.00317113770109028
"62","scen1",130,0.000114227822617746,0.00273617407462689
"63","scen2",100,0.00954802561372435,0.228710129891658
"64","scen2",101,0.00741446592294892,0.177603573023246
"65","scen2",102,0.00639917154126712,0.153283559723435
"66","scen2",103,0.00552437923765289,0.132329084999336
"67","scen2",104,0.00479628519484664,0.114888570086578
"68","scen2",105,0.00419810604360367,0.100559991916175
"69","scen2",106,0.00371460455937989,0.0889783632388615
"70","scen2",107,0.00333294898354612,0.0798363165106512
"71","scen2",108,0.00304316766417715,0.0728949942023209
"72","scen2",109,0.00283830129776412,0.0679876955451612
"73","scen2",110,0.0027143992310357,0.0650197879460687
"74","scen2",111,0.00264719601187866,0.0634100250899187
"75","scen2",112,0.00261659466862937,0.0626770110121868
"76","scen2",113,0.0026112648183573,0.0625493416072915
"77","scen2",114,0.00262467026212932,0.0628704510083752
"78","scen2",115,0.0026459149597963,0.0633793392078308
"79","scen2",116,0.00266848618526403,0.0639200025991312
"80","scen2",117,0.00269082573882944,0.0644551166011633
"81","scen2",118,0.00271468763762021,0.06502669633845
"82","scen2",119,0.0027391670915376,0.0656130687793739
"83","scen2",120,0.00276300366878011,0.0661840419729805
"84","scen2",121,0.0027854544975102,0.0667218214221323
"85","scen2",122,0.00280710149312114,0.0672403461285203
"86","scen2",123,0.00282970808660191,0.0677818567130712
"87","scen2",124,0.00285406147535207,0.0683652094322286
"88","scen2",125,0.00288035818391681,0.0689951117675262
"89","scen2",126,0.00290888041607014,0.0696783235313498
"90","scen2",127,0.00294033737537099,0.0704318327424431
"91","scen2",128,0.00297467524261454,0.0712543502340368
"92","scen2",129,0.00301124894611021,0.0721304241801616
"93","scen2",130,0.00304923536073614,0.0730403377240386
"94","scen3",100,0.00954802561372435,0.228710129891658
"95","scen3",101,0.00659054519691761,0.157867658615959
"96","scen3",102,0.00568826260255123,0.13625469089833
"97","scen3",103,0.00491098102953671,0.117635954761823
"98","scen3",104,0.00428600399628082,0.102665469319284
"99","scen3",105,0.00379854972050495,0.0909891568292234
"100","scen3",106,0.00343456157015078,0.0822703095497539
"101","scen3",107,0.00318247754821834,0.0762319753713339
"102","scen3",108,0.00303426953866534,0.0726818515565082
"103","scen3",109,0.0029859320271931,0.071523991389945
"104","scen3",110,0.00303767752449004,0.0727634852797687
"105","scen3",111,0.00315309961489653,0.0755282664352873
"106","scen3",112,0.00330215287113994,0.0790986369993549
"107","scen3",113,0.0034726826447221,0.083183448691765
"108","scen3",114,0.0036602314362814,0.0876759281020521
"109","scen3",115,0.00385173141732873,0.0922630529497934
"110","scen3",116,0.00404110405118246,0.0967992200526922
"111","scen3",117,0.00423182014840833,0.101367568016303
"112","scen3",118,0.00443286296432897,0.10618327865672
"113","scen3",119,0.00464827074200333,0.111343082662772
"114","scen3",120,0.00487858729158454,0.116860006276299
"115","scen3",121,0.00512382882139124,0.122734437745806
"116","scen3",122,0.00538589591581223,0.129011903017705
"117","scen3",123,0.00566897088133941,0.13579258362687
"118","scen3",124,0.00597380304994218,0.143094428814223
"119","scen3",125,0.00629922694954048,0.150889521261398
"120","scen3",126,0.0066450130024506,0.159172361743322
"121","scen3",127,0.00701314132086287,0.167990381188079
"122","scen3",128,0.00740424772486628,0.177358809811951
"123","scen3",129,0.00781765171861739,0.187261347250963
"124","scen3",130,0.00825262545992335,0.197680559022929
"125","scen4",100,0.00954802561372435,0.228710129891658
"126","scen4",101,0.00549198421890449,0.131553105834059
"127","scen4",102,0.00474038400899477,0.113549532258809
"128","scen4",103,0.00409311674461132,0.0980451142669924
"129","scen4",104,0.00359601141803305,0.0861376238170162
"130","scen4",105,0.00323687637344233,0.0775350261680399
"131","scen4",106,0.0030034442812151,0.0719434739148253
"132","scen4",107,0.00288591073099373,0.0691281155752836
"133","scen4",108,0.00287847125482008,0.0689499129152954
"134","scen4",109,0.00298010124860965,0.0713843229201335
"135","scen4",110,0.00319492799514276,0.0765302091055628
"136","scen4",111,0.0034768965576358,0.0832843873160245
"137","scen4",112,0.00378806745428341,0.0907380682203239
"138","scen4",113,0.00411990575182096,0.0986868089551359
"139","scen4",114,0.00447385939524394,0.107165293098133
"140","scen4",115,0.00483891872006895,0.115909798923387
"141","scen4",116,0.00521291700921125,0.124868425633191
"142","scen4",117,0.00560848628455383,0.134343756346035
"143","scen4",118,0.00604554815399705,0.144812986423023
"144","scen4",119,0.00653735522992623,0.156593564394632
"145","scen4",120,0.00708785133106402,0.169779959141531
"146","scen4",121,0.00769802758821878,0.184395911871075
"147","scen4",122,0.00837173955107943,0.200533777097781
"148","scen4",123,0.00911727466889416,0.21839206953775
"149","scen4",124,0.00993627340150311,0.238010084203196
"150","scen4",125,0.0108270717366828,0.259347961916192
"151","scen4",126,0.0117920092656218,0.282461744441425
"152","scen4",127,0.0128401609425544,0.30756881011926
"153","scen4",128,0.0139799832966082,0.334871723747219
"154","scen4",129,0.0152179907431832,0.364526529396882
"155","scen4",130,0.0165613030337312,0.39670377115194
"156","scen5",100,0.00954802561372435,0.228710129891658
"157","scen5",101,0.0016167801125272,0.0387277961436164
"158","scen5",102,0.00154671634437404,0.0370495126781872
"159","scen5",103,0.00162259654296156,0.0388671209227872
"160","scen5",104,0.00182125771790855,0.0436257825523963
"161","scen5",105,0.00213339741293524,0.0511026697207006
"162","scen5",106,0.00256071437985564,0.061338473745859
"163","scen5",107,0.00311411076782178,0.0745943409684375
"164","scen5",108,0.00381281228218913,0.091330797338722
"165","scen5",109,0.00402980116428407,0.0965284745776312
"166","scen5",110,0.00395683180845313,0.0947805916617941
"167","scen5",111,0.0038634000226207,0.0925425587177863
"168","scen5",112,0.00386077172365283,0.0924796013460056
"169","scen5",113,0.00400838116778082,0.0960153873299918
"170","scen5",114,0.00434006262598113,0.103960371189127
"171","scen5",115,0.00488876724008041,0.117103853270115
"172","scen5",116,0.00568273319061151,0.136122241261712
"173","scen5",117,0.00675434120029332,0.161791171887011
"174","scen5",118,0.00769451775577967,0.184311838548954
"175","scen5",119,0.00835422337519489,0.200114200629951
"176","scen5",120,0.00881883515729148,0.211243351863036
"177","scen5",121,0.00922650605789507,0.221008560755655
"178","scen5",122,0.00966301735359474,0.231464602578076
"179","scen5",123,0.0102255945678252,0.244940384163307
"180","scen5",124,0.0110257841124974,0.264107849993821
"181","scen5",125,0.0121696947839307,0.2915086937737
"182","scen5",126,0.0137434444882345,0.329205754281259
"183","scen5",127,0.0155319205760769,0.372046296913508
"184","scen5",128,0.0172927435253081,0.414224445750478
"185","scen5",129,0.0189244182810046,0.453309023066639
"186","scen5",130,0.0204582537455525,0.490049991568538
"187","scen6",100,0.00954802561372435,0.228710129891658
"188","scen6",101,0.00143711799568564,0.0344242314338213
"189","scen6",102,0.00137487529432762,0.0329332911192146
"190","scen6",103,0.00144237560842537,0.0345501704856496
"191","scen6",104,0.0016190216743176,0.0387814897457268
"192","scen6",105,0.00189654243995938,0.0454291269563276
"193","scen6",106,0.00227644885508974,0.0545292748891364
"194","scen6",107,0.00276843438678189,0.0663141275288683
"195","scen6",108,0.00338959223504857,0.0811931295244318
"196","scen6",109,0.00358258576437843,0.0858160303153383
"197","scen6",110,0.00351785178913194,0.084265414880693
"198","scen6",111,0.00346646915393981,0.0830346128652402
"199","scen6",112,0.00351410782677259,0.0841757332907856
"200","scen6",113,0.00370727145802775,0.0888027086448535
"201","scen6",114,0.00407404506513711,0.0975882777998248
"202","scen6",115,0.00464366741681593,0.111232816190505
"203","scen6",116,0.00544342422574723,0.13038991641754
"204","scen6",117,0.0065057722922062,0.155837037539705
"205","scen6",118,0.0074719282388384,0.178980005624356
"206","scen6",119,0.00820459581125174,0.196530073296273
"207","scen6",120,0.00879563910197274,0.210687721511846
"208","scen6",121,0.00937136462998735,0.224478453294645
"209","scen6",122,0.00999892461520686,0.239510809882383
"210","scen6",123,0.0107609642159881,0.257764445045108
"211","scen6",124,0.0117645026977803,0.281802861552082
"212","scen6",125,0.0131156310212419,0.314167325878091
"213","scen6",126,0.0148986576906778,0.356877335011373
"214","scen6",127,0.0169373241946892,0.405710853039226
"215","scen6",128,0.0190254744328141,0.455729687457556
"216","scen6",129,0.0210881246673853,0.505137703539094
"217","scen6",130,0.0231659341986255,0.554908840212313
"218","scen7",100,0.00954802561372435,0.228710129891658
"219","scen7",101,0.00119756850430031,0.0286861450998816
"220","scen7",102,0.00114575389211213,0.0274449956556644
"221","scen7",103,0.00120208102679588,0.0287942365156206
"222","scen7",104,0.00134937361368377,0.0323224326099825
"223","scen7",105,0.00158073580639134,0.0378644032002274
"224","scen7",106,0.00189742815188958,0.0454503429960407
"225","scen7",107,0.0023075325411324,0.0552738428406623
"226","scen7",108,0.00282529883364988,0.0676762389805491
"227","scen7",109,0.00298629855899255,0.0715327711669222
"228","scen7",110,0.00293254509128258,0.070245179042703
"229","scen7",111,0.00292335228431579,0.0700249776984146
"230","scen7",112,0.0030160812303512,0.0722461750590491
"231","scen7",113,0.00324277843172521,0.0776764020473177
"232","scen7",114,0.0036247408402243,0.0868257985399273
"233","scen7",115,0.00418628356860461,0.100276800406006
"234","scen7",116,0.00495246561109055,0.118629662196169
"235","scen7",117,0.00595423400695659,0.142625678672135
"236","scen7",118,0.00689773868510052,0.165226066042432
"237","scen7",119,0.00766346285483077,0.183567960105688
"238","scen7",120,0.00834595340238909,0.199916104538557
"239","scen7",121,0.00905611690616148,0.216927117470762
"240","scen7",122,0.00984218961277619,0.235756433405537
"241","scen7",123,0.010770655865399,0.257996595490163
