"","scenarios","Year","Biomass","relative"
"1","",100,7067.94705190134,0.0359323217843211
"2","scen1",100,7067.94705190134,0.0359323217843211
"3","scen2",100,7067.94705190134,0.0359323217843211
"4","scen3",100,7067.94705190134,0.0359323217843211
"5","scen4",100,7067.94705190134,0.0359323217843211
"6","scen5",100,7067.94705190134,0.0359323217843211
"7","scen6",100,7067.94705190134,0.0359323217843211
"8","scen7",100,7067.94705190134,0.0359323217843211
"9","",101,7001.66160173823,0.0355953370690439
"10","scen1",101,7001.66160173823,0.0355953370690439
"11","scen2",101,7145.4574087064,0.0363263721446146
"12","scen3",101,7289.25324525496,0.0370574073705673
"13","scen4",101,7480.98110554424,0.038032121402852
"14","scen5",101,7602.17973242847,0.0386482759989522
"15","scen6",101,7695.22351528212,0.039121295833563
"16","scen7",101,7819.28194367456,0.0397519892069457
"17","",102,6936.64341224646,0.035264794906023
"18","scen1",102,6936.64341224646,0.035264794906023
"19","scen2",102,7233.25989448925,0.036772746056225
"20","scen3",102,7530.52039200559,0.0382839712779322
"21","scen4",102,7926.82299782397,0.040298710869452
"22","scen5",102,8179.0696999256,0.0415810930947845
"23","scen6",102,8371.23144453586,0.0425580129261399
"24","scen7",102,8627.4137090514,0.043860402926576
"25","",103,6872.85658856485,0.0349405128114775
"26","scen1",103,6872.85658856485,0.0349405128114775
"27","scen2",103,7338.14919397353,0.0373059866186012
"28","scen3",103,7805.69542666554,0.0396829175093918
"29","scen4",103,8428.76198836282,0.0428504890861956
"30","scen5",103,8738.42914233063,0.0444247877815166
"31","scen6",103,9050.23047429018,0.0460099362992515
"32","scen7",103,9465.74170843563,0.0481223295105587
"33","",104,6810.26657639455,0.0346223151168325
"34","scen1",104,6810.26657639455,0.0346223151168325
"35","scen2",104,7461.60840583472,0.0379336336701791
"36","scen3",104,8119.15347346079,0.0412764885025845
"37","scen4",104,8996.53822556729,0.0457369734227235
"38","scen5",104,9305.15063481752,0.0473059099631905
"39","scen6",104,9761.2826428518,0.0496248127461998
"40","scen7",104,10368.6698258298,0.0527126728484576
"41","",105,6748.840100078,0.0343100326539228
"42","scen1",105,6748.840100078,0.0343100326539228
"43","scen2",105,7602.59980255805,0.0386504115688649
"44","scen3",105,8470.60162337581,0.0430631951545328
"45","scen4",105,9633.03303962755,0.0489728121047228
"46","scen5",105,9916.51627981391,0.0504139959353371
"47","scen6",105,10543.6015814576,0.0536019981486271
"48","scen7",105,11377.7022951047,0.0578424338824003
