"","Fishery","Country","Site","Species","Scientific","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_low","f0_total_expected","f0_total_high","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"1","MNI Fishery","Montserrat","MNI","Common dolphifish","Coryphaena hippurus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.146076559072677,0.146076559072677,0.146076559072677,4721.87852704714,4721.87852704714,4721.87852704714,1.92587981504724,1.92587981504724,1.92587981504724,0.284179295927683,0.284179295927683,0.284179295927683,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"2","MNI Fishery","Montserrat","MNI","Mutton fish","Lutjanus analis",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.018798312858269,0.018798312858269,0.018798312858269,2690.44301837727,2690.44301837727,2690.44301837727,0.392735014038922,0.392735014038922,0.392735014038922,4.15347551510398,4.15347551510398,4.15347551510398,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"3","MNI Fishery","Montserrat","MNI","Atlantic Bonito","Sarda sarda",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0601784025947507,0.0601784025947507,0.0601784025947507,4425.14162578777,4425.14162578777,4425.14162578777,0.184356525138555,0.184356525138555,0.184356525138555,0.0509229629111314,0.0509229629111314,0.0509229629111314,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"4","MNI Fishery","Montserrat","MNI","Barracuda","Acanthocybium solandri",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0489818389191161,0.0489818389191161,0.0489818389191161,14581.7576694429,14581.7576694429,14581.7576694429,0.323754440020309,0.323754440020309,0.323754440020309,0.929774785735424,0.929774785735424,0.929774785735424,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"5","MNI Fishery","Montserrat","MNI","Banana","Albula vulpes",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0134288513073804,0.0134288513073804,0.0134288513073804,1407.34125434085,1407.34125434085,1407.34125434085,0.385034491079572,0.385034491079572,0.385034491079572,2.74847680980396,2.74847680980396,2.74847680980396,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"6","MNI Fishery","Montserrat","MNI","Bream","Lutjanus synagris",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0400092581802811,0.0400092581802811,0.0400092581802811,1547.22725175317,1547.22725175317,1547.22725175317,0.850862054693209,0.850862054693209,0.850862054693209,3.46488725359617,3.46488725359617,3.46488725359617,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"7","MNI Fishery","Montserrat","MNI","Day snapper","Lutjanus vivanus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0130994759481466,0.0130994759481466,0.0130994759481466,24637.5633397944,24637.5633397944,24637.5633397944,0.700600549679563,0.700600549679563,0.700600549679563,2.55405261198943,2.55405261198943,2.55405261198943,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"8","MNI Fishery","Montserrat","MNI","Cola","Ocyurus chrysurus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0221258676840325,0.0221258676840325,0.0221258676840325,5722.26308793997,5722.26308793997,5722.26308793997,0.521128206786928,0.521128206786928,0.521128206786928,1.93240197248566,1.93240197248566,1.93240197248566,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"9","MNI Fishery","Montserrat","MNI","Garfish","Belone belone",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0419689193020488,0.0419689193020488,0.0419689193020488,352345.011609201,352345.011609201,352345.011609201,0.799653508390048,0.799653508390048,0.799653508390048,1.73933703940678,1.73933703940678,1.73933703940678,1,0,0,0,8,8,8,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"10","MNI Fishery","Montserrat","MNI","Black cavalli","Caranx hippos",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0428716817255593,0.0428716817255593,0.0428716817255593,5738.60317554037,5738.60317554037,5738.60317554037,0.538265674779856,0.538265674779856,0.538265674779856,2.79401236732146,2.79401236732146,2.79401236732146,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"11","MNI Fishery","Montserrat","MNI","Day grouper","Epinephelus striatus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0130247492127865,0.0130247492127865,0.0130247492127865,1464.55046236233,1464.55046236233,1464.55046236233,0.354682680778285,0.354682680778285,0.354682680778285,10.346282860999,10.346282860999,10.346282860999,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"12","MNI Fishery","Montserrat","MNI","Balahu","Hemiramphus brasiliensis",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0534043036191427,0.0534043036191427,0.0534043036191427,90961.4426941156,90961.4426941156,90961.4426941156,0.775630770220607,0.775630770220607,0.775630770220607,2.03898458748065,2.03898458748065,2.03898458748065,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"13","MNI Fishery","Montserrat","MNI","Bream","Lutjanus campechanus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0230189560228274,0.0230189560228274,0.0230189560228274,76198.8260926275,76198.8260926275,76198.8260926275,0.486454776458333,0.486454776458333,0.486454776458333,1.31262794748663,1.31262794748663,1.31262794748663,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"14","MNI Fishery","Montserrat","MNI","Bastard snapper","Rhomboplites aurorubens",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0632799067181887,0.0632799067181887,0.0632799067181887,22603.3029935705,22603.3029935705,22603.3029935705,0.351557124122464,0.351557124122464,0.351557124122464,0.253557548774372,0.253557548774372,0.253557548774372,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"15","MNI Fishery","Montserrat","MNI","Cero","Scomberomorus regalis",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0528465022207327,0.0528465022207327,0.0528465022207327,3322.51339146006,3322.51339146006,3322.51339146006,0.278317645841108,0.278317645841108,0.278317645841108,0.40926656424022,0.40926656424022,0.40926656424022,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"16","MNI Fishery","Montserrat","MNI","Cowfish","Acanthostracion polygonius",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.104142617610431,0.104142617610431,0.104142617610431,29858.5473857225,29858.5473857225,29858.5473857225,0.438444720237767,0.438444720237767,0.438444720237767,1.05804420343493,1.05804420343493,1.05804420343493,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"17","MNI Fishery","Montserrat","MNI","Black doctorfish","Acanthurus chirurgus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0392099601949235,0.0392099601949235,0.0392099601949235,69174.1296461764,69174.1296461764,69174.1296461764,0.577721990363815,0.577721990363815,0.577721990363815,1.8108266043823,1.8108266043823,1.8108266043823,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"18","MNI Fishery","Montserrat","MNI","Blue barber","Acanthurus coeruleus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0388727330220693,0.0388727330220693,0.0388727330220693,68404.6431121866,68404.6431121866,68404.6431121866,0.548170911640832,0.548170911640832,0.548170911640832,2.0941559947881,2.0941559947881,2.0941559947881,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"19","MNI Fishery","Montserrat","MNI","Broom-tail file","Aluterus scriptus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0406020781591934,0.0406020781591934,0.0406020781591934,4939.9922454524,4939.9922454524,4939.9922454524,0.559827361666605,0.559827361666605,0.559827361666605,4.00759533894174,4.00759533894174,4.00759533894174,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"20","MNI Fishery","Montserrat","MNI","Black margate","Anisotremus surinamensis",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0193368835845797,0.0193368835845797,0.0193368835845797,2561.53368775021,2561.53368775021,2561.53368775021,0.419465851240279,0.419465851240279,0.419465851240279,6.97886563925872,6.97886563925872,6.97886563925872,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"21","MNI Fishery","Montserrat","MNI","Brim","Archosargus rhomboidalis",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.109045604276945,0.109045604276945,0.109045604276945,3508.12606392124,3508.12606392124,3508.12606392124,0.49802269210951,0.49802269210951,0.49802269210951,1.03665587580013,1.03665587580013,1.03665587580013,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"22","MNI Fishery","Montserrat","MNI","Old wife","Balistes vetula",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0538084184267805,0.0538084184267805,0.0538084184267805,86647.0802907956,86647.0802907956,86647.0802907956,0.561869170106063,0.561869170106063,0.561869170106063,1.49830523854796,1.49830523854796,1.49830523854796,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"23","MNI Fishery","Montserrat","MNI","Dogfish","Bodianus rufus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.04060263496179,0.04060263496179,0.04060263496179,347.018990152701,347.018990152701,347.018990152701,0.383058385828846,0.383058385828846,0.383058385828846,5.09518854309599,5.09518854309599,5.09518854309599,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"24","MNI Fishery","Montserrat","MNI","Blue bone porgy","Calamus bajonado",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0632894744250884,0.0632894744250884,0.0632894744250884,3700.85480004731,3700.85480004731,3700.85480004731,0.88159175619955,0.88159175619955,0.88159175619955,1.3075632571968,1.3075632571968,1.3075632571968,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"25","MNI Fishery","Montserrat","MNI","American whitespotted filefish","Cantherhines macrocerus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0403731228627975,0.0403731228627975,0.0403731228627975,443.811406738976,443.811406738976,443.811406738976,0.50732732732796,0.50732732732796,0.50732732732796,7.42548308140717,7.42548308140717,7.42548308140717,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
