"","species","management","time","biomass","harvest1","profit1","BvBMSY","FvFMSY1","FvFMSYtotal"
"1","Coryphaena hippurus","BAU",1,3661.60837373603,150.993122148319,3321.84868726302,1.92497347585859,0.283158581385369,0.283158581385369
"2","Coryphaena hippurus","30% MPA",1,3661.60837373603,150.993122148319,3321.84868726302,1.92497347585859,0.283158581385369,0.283158581385369
"3","Coryphaena hippurus","BAU",2,3672.22252488994,151.430816095377,3331.4779540983,1.93055352630488,0.283158581385369,0.283158581385369
"4","Coryphaena hippurus","30% MPA",2,3672.22252488994,106.001571266764,2332.03456786881,1.93055352630488,0.198211006969758,0.198211006969758
"5","Coryphaena hippurus","BAU",3,3681.11614929097,151.797560973163,3339.54634140959,1.93522906484664,0.283158581385369,0.283158581385369
"6","Coryphaena hippurus","30% MPA",3,3726.54539411958,107.569643314422,2366.53215291729,1.95911203713571,0.198211006969758,0.198211006969758
"7","Coryphaena hippurus","BAU",4,3688.56351437711,152.1046667014,3346.3026674308,1.93914427881619,0.283158581385369,0.283158581385369
"8","Coryphaena hippurus","30% MPA",4,3772.64096045939,108.900227838463,2395.80501244618,1.98334530664517,0.198211006969758,0.198211006969758
"9","Coryphaena hippurus","BAU",5,3694.79656913938,152.361698121207,3351.95735866655,1.94242110797602,0.283158581385369,0.283158581385369
"10","Coryphaena hippurus","30% MPA",5,3811.63325776416,110.025770953999,2420.56696098797,2.00384425967708,0.198211006969758,0.198211006969758
"11","Coryphaena hippurus","BAU",6,3700.01104458273,152.576726558766,3356.68798429285,1.945162451641,0.283158581385369,0.283158581385369
"12","Coryphaena hippurus","30% MPA",6,3844.53031798052,110.975370290465,2441.45814639023,2.02113883678272,0.198211006969758,0.198211006969758
"13","Coryphaena hippurus","BAU",7,3704.37180912179,152.756550664869,3360.64411462712,1.94745498410634,0.283158581385369,0.283158581385369
"14","Coryphaena hippurus","30% MPA",7,3872.2237503417,111.774762844745,2459.04478258438,2.03569777299586,0.198211006969758,0.198211006969758
"15","Coryphaena hippurus","BAU",8,3708.01752543757,152.906888448924,3363.95154587633,1.94937160284108,0.283158581385369,0.283158581385369
"16","Coryphaena hippurus","30% MPA",8,3895.49354845811,112.446463741594,2473.82220231507,2.04793112500695,0.198211006969758,0.198211006969758
