"","Fishery","Country","Site","Species","Scientific","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_low","f0_total_expected","f0_total_high","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"1","MNI Fishery","Montserrat","MNI","Coryphaena hippurus","Coryphaena hippurus",50,1,0.188,0.188,0.188,0.145631574467486,0.145631574467486,0.145631574467486,4755.61768604652,4755.61768604652,4755.61768604652,1.92497347585859,1.92497347585859,1.92497347585859,0.283158581385369,0.283158581385369,0.283158581385369,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"2","MNI Fishery","Montserrat","MNI","Lutjanus analis","Lutjanus analis",50,1,0.188,0.188,0.188,0.0189257833558344,0.0189257833558344,0.0189257833558344,2650.94380568856,2650.94380568856,2650.94380568856,0.385389259286034,0.385389259286034,0.385389259286034,4.26677710087625,4.26677710087625,4.26677710087625,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"3","MNI Fishery","Montserrat","MNI","Sarda sarda","Sarda sarda",50,1,0.188,0.188,0.188,0.061367759583595,0.061367759583595,0.061367759583595,4349.43132722921,4349.43132722921,4349.43132722921,0.184636911635997,0.184636911635997,0.184636911635997,0.0507281161903804,0.0507281161903804,0.0507281161903804,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"4","MNI Fishery","Montserrat","MNI","Acanthocybium solandri","Acanthocybium solandri",50,1,0.188,0.188,0.188,0.0467236262269763,0.0467236262269763,0.0467236262269763,15191.7820535064,15191.7820535064,15191.7820535064,0.323025226410213,0.323025226410213,0.323025226410213,0.937684545155874,0.937684545155874,0.937684545155874,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"5","MNI Fishery","Montserrat","MNI","Albula vulpes","Albula vulpes",50,1,0.188,0.188,0.188,0.0136136707923971,0.0136136707923971,0.0136136707923971,1406.22140029838,1406.22140029838,1406.22140029838,0.3852970571784,0.3852970571784,0.3852970571784,2.71147345181241,2.71147345181241,2.71147345181241,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"6","MNI Fishery","Montserrat","MNI","Epinephelus guttatus","Epinephelus guttatus",50,1,0.188,0.188,0.188,0.0396672782343198,0.0396672782343198,0.0396672782343198,85190.0691500248,85190.0691500248,85190.0691500248,0.0044,0.0044,0.0044,1.76861370277244,1.76861370277244,1.76861370277244,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"7","MNI Fishery","Montserrat","MNI","Lutjanus synagris","Lutjanus synagris",50,1,0.188,0.188,0.188,0.0399726986372695,0.0399726986372695,0.0399726986372695,1550.12054628084,1550.12054628084,1550.12054628084,0.849876223415843,0.849876223415843,0.849876223415843,3.46559850319269,3.46559850319269,3.46559850319269,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"8","MNI Fishery","Montserrat","MNI","Lutjanus vivanus","Lutjanus vivanus",50,1,0.188,0.188,0.188,0.0138149192667412,0.0138149192667412,0.0138149192667412,24422.254355886,24422.254355886,24422.254355886,0.0034,0.0034,0.0034,2.43615896793282,2.43615896793282,2.43615896793282,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"9","MNI Fishery","Montserrat","MNI","Ocyurus chrysurus","Ocyurus chrysurus",50,1,0.188,0.188,0.188,0.0221914582645428,0.0221914582645428,0.0221914582645428,5682.66952776982,5682.66952776982,5682.66952776982,0.518102425365662,0.518102425365662,0.518102425365662,1.95144500609259,1.95144500609259,1.95144500609259,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"10","MNI Fishery","Montserrat","MNI","Belone belone","Belone belone",50,1,0.188,0.188,0.188,0.0392056345160804,0.0392056345160804,0.0392056345160804,368552.99609465,368552.99609465,368552.99609465,0.798510336057752,0.798510336057752,0.798510336057752,1.78259437102244,1.78259437102244,1.78259437102244,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
