,common_name,id10,scientific_name,new_id
1,mixed fish,NA,NA,NA
3,ocean surgeon,ACANBA,Acanthurus bahianus,ACANBA
7,doctorfish,ACANCH,Acanthurus chirurgus,ACANCH
11,blue tang,ACANCO,Acanthurus coeruleus,ACANCO
15,bonefishe,ALBU,Albulidae,ALBU
16,ten pounder,ALBUUU,Albula vulpes,ALBUVU
17,bonefish,ALBUVU,Albula vulpes,ALBUVU
20,doctorfish,ANANCH,Acanthurus chirurgus,ACANCH
21,catfishes,ARIIA,Aridae (g:  arius),ARIIA
22,silversides,ATHE,Atherinidae,ATHE
23,trumpetfishes,AULO,Aulostomidae,AULO
24,triggerfishes,BALI,Balistidae,BALI
25,gray trigger,BALICA,Balistes capriscus,BALICA
27,black durgan,BALIIU,Melichthys niger,BALINI
28,black durgan,BALINE,Melichthys niger,BALINI
29,black durgan,BALINI,Melichthys niger,BALINI
34,ocean triggerfish,BALIPU,Canthidermis sufflamen,BALIPU
37,queen triggerfish,BALIVE,Balistes vetula,BALIVE
39,gar,BELO,Belone belone,BELO
44,Keeltail needlefish,BELOAR,Platibelone argalus arga,BELOAR
45,g:tylososurus needlefish,BELOT,Tylosurus spp,BELOT
46,queen triggerfish,BLAIVE,Balistes vetula,BALIVE
47,tilefishes,BRAN,Branchiostegidae,BRAN
48,jacks,CARA,Carangidae,CARA
49,yellow jack,CARABA,Caranx bartholomaei,CARABA
52,rainbow runner,CARABI,Elagatis bipinnulata,CARABI
53,african pompano,CARACI,Alectis ciliaris,CARACI
54,african pompano,CARACI,Alectis ciliaris,CARACI
55,big eye scad,CARACR,Selar crumenophthalmus,CARACR
58,blue runner,CARACY,Caranx crysos,CARACY
59,amber jack,CARADU,Seriola dumerili,CARADU
61,permit,CARAFA,Trachinotus falcatus,CARAFA
62,comad,CARAFI,Seriola rivoliana,CARARI
63,crevalle jack,CARAFU,Caranx hippos,CARAHI
64,palometa,CARAGO,Trachinotus goodei,CARAGO
65,crevalle jack,CARAH,Caranx hippos,CARAHI
71,horse eye jack,CARALA,Caranx latus,CARALA
74,black jack,CARALU,Caranx lugubris,CARALU
76,comad,CARAN,Seriola rivoliana,CARARI
77,round scad,CARAPU,Decapterus punctatus,CARAPU
78,almaco jack,CARARI,Seriola rivoliana,CARARI
92,bar jack,CARARU,Caranx ruber,CARARU
95,cottonmouth jack,CARASC,Uraspis secunda,CARASC
96,atlantic moonfish,CARAST,Selene setapinnis,CARAST
97,lookdown,CARAVO,Selene vomer,CARAVO
99,lemon shark,CARCBE,Negaprion brevirostris,CARCBE
100,tiger shark,CARCCU,Galeocerdo cuvier,CARCCU
102,blacktip shark,CARCLI,Carcharhinus limbatus,CARCLI
103,oceanic whitetip shark,CARCLO,Carcharhinus longimanus,CARCLO
104,sandbar shark,CARCMI,Carcharhinus milberti,CARCMI
105,caribbean reef shark,CARCPE,Carcharhinus perezi,CARCPE
106,caribbean sharpnose shark,CARCPO,Rhizonoprionodon porosus,CARCPO
107,caribbean reef shark,CARCSP,Carcharhinus springeri,CARCSP
108,sand tiger shark,CARCTA,Odontaspis taurus,CARCTA
109,black jack,CARRAFU,Caranx lugubris,CARALU
110,snooks,CENT,Centropomidae,CENT
111,butterflyfishes,CHAE,Chaetodontidae,CHAE
112,foureye butterflyfish,CHAECA,Chaetodon capistratus,CHAECA
113,spotfin butterflyfish,CHAEOC,Chaetodon ocellatus,CHAEOC
114,banded butterflyfish,CHAEST,Chaetodon striatus,CHAEST
115,turtles,CHEL,Cheloniidae,CHEL
116,hawksbill turtle,CHELIM,Eretmochelys imbricata,CHELIM
117,Atl green seaturtle,CHELMY,Chelonia mydas mydas,CHELMY
118,peacock bass,CICHOC,Cichla ocellaris,CICHOC
119,pot fish,CLASS D,NA,
120,robin (sprat),CLASS D,,
121,sprat,CLASS D,,
122,rockfish,CLASS O,,
123,lionfish,CLASSO,,
124,mixed fish,CLASSO,,
125,snit,CLASSO,,
126,unicorn tilefish,CLASSO,,
127,herrings,CLUP,Clupeidae,CLUP
128,conger eel,CONG,Conger oceanicus,CONGOC
129,"eel,conger",CONGOC,Conger oceanicus,CONGOC
130,manytooth conger,CONGTR,Conger triporiceps,CONGTR
134,dolphinfish,CORY,Coryphaena hippurus,CORYHI
136,dolphinfish,CORYHI,Coryphaena hippurus,CORYHI
137,flying gurnard,DACTVO,Dactylopterus volitans,DACTVO
138,stingrays,DASY,Dasyatidae,DASY
140,sharksucker,ECHENA,Echeneis naucrates,ECHENA
141,suckfish,ECHERE,,
142,tarpon,ELOPAT,Megalops atlanticus,ELOPAT
144,Atlantic spadefish,EPHIFA,Chaetodipterus faber,EPHIFA
145,flyingfishes,EXOC,Exocoetidae,EXOC
146,"fillet,unknown",FILLET,NA,FILLET
147,"jenny,silver",GERRGU,Eucinostomus gula,GERRGU
148,soapfishes,GRAM,Grammistidae,GRAM
149,caesar grunt,HACMCA,Haemulon carbonarium,HAEMCA
150,caesar grunt,HAECA,Haemulon carbonarium,HAEMCA
151,caesar grunt,HAELCA,Haemulon carbonarium,HAEMCA
152,grunts,HAEM,Haemulidae,HAEM
153,margate,HAEMAL,Haemulon album,HAEMAL
156,black grunt,HAEMBO,Haemulon bonariense,HAEMBO
162,caesar grunt,HAEMCA,Haemulon carbonarium,HAEMCA
164,smalltooth grunt,HAEMCR,Haemulon chrysargyreum,HAEMCR
165,margate,HAEMEL,Haemulon album,HAEMAL
166,french grunt,HAEMF,Haemulon flavolineatum,HAEMFL
167,french grunt,HAEMFL,Haemulon flavolineatum,HAEMFL
169,margate,HAEMFL,Haemulon album,HAEMAL
170,sailors choice,HAEMFL,Haemulon parrai,HAEMPA
171,rock beauty,HAEMJA,Holacanthus tricolor,PCANTR
172,spanish grunt,HAEMMA,Haemulon macrostomum,HAEMMA
173,cottonwick,HAEMME,Haemulon melanurum,
174,barred grunt,HAEMNO,Conodon nobilis,HAEMNO
175,classic grunt,HAEMOA,,
176,sailors choice,HAEMPA,Haemulon parrai,HAEMPA
177,"grunt,white",HAEMPL,Haemulon plumieri,HAEMPL
178,blue striped grunt,HAEMSC,Haemulon sciurus,HAEMSC
179,"grunt,striped",HAEMST,Haemulon striatum,HAEMST
181,black margate,HAEMSU,Anisotremus surinamensis,HAEMSU
184,porkfish,HAEMVI,Anisotremus virginicus,HAEMVI
186,french grunt,HEAMFL,Haemulon flavolineatum,HAEMFL
187,caesar grunt,HEMCA,Haemulon carbonarium,HAEMCA
188,balao,HEMIBA,Hemiramphus balao,HEMIBA
189,ballyhoo,HEMIBR,Hemiramphus brasiliensis,HEMIBR
191,squirrelfishes,HOLO,Holocentridae,HOLO
195,squirrelfish,HOLOAD,Holocentrus adscensionis,HOLOAD
196,"soldierfish,blackbar",HOLOJA,Myripristis jacobus,HOLOJA
197,"squirrelfish,longspine",HOLORU,Holocentrus rufus,HOLORU
198,marlins,ISTI,Istiophoridae,ISTI
199,white marlin,ISTIAB,Tetrapturus albidus,ISTIAB
200,blue marlin,ISTINI,Makaira nigricans,ISTINI
202,sailfish,ISTIPL,Istiophorus platypterus,ISTIPL
203,bermuda chub,KYPHSE,Kyphosus sectatrix,KYPHSE
206,spanish hogfish,LABBRU,Bodianus rufus,LABBRU
207,wrasses,LABR,Labridae,LABR
208,spanish hogfish,LABRAU,Bodianus rufus,LABBRU
209,spanish hogfish,LABRIU,Bodianus rufus,LABBRU
210,spanish hogfish,LABRIU,Bodianus rufus,LABBRU
211,hogfish,LABRMX,Lachnolaimus maximus,LABRMX
212,creole wrasse,LABRPA,LABRPA,LABRPA
216,spotfin hogfish,LABRPU,Bodianus pulchellus,LABRPU
217,puddingwife,LABRRA,Halichoeres radiatus,LABRRA
219,"hogfish,spanish",LABRRU,Bodianus rufus,LABBRU
222,squid,LOLI,Loliginidae,LOLI
223,snapper,LUTJ,Lutjanidae,LUTJ
