common_name,id10,scientific_name,new_id
queen triggerfish,ABALIVE,Balistes vetula,BALIVE
ocean surgeon,ACANBA,Acanthurus bahianus,ACANBA
doctorfish,ACANCH,Acanthurus chirurgus,ACANCH
blue tang,ACANCO,Acanthurus coeruleus,ACANCO
doctorfish,ACNACH,Acanthurus chirurgus,ACANCH
bonefishe,ALBU,Albulidae,ALBU
ten pounder,ALBUUU,Albula vulpes,ALBUVU
bonefish,ALBUVU,Albula vulpes,ALBUVU
doctorfish,ANANCH,Acanthurus chirurgus,ACANCH
catfishes,ARIIA,Aridae (g:  arius),ARIIA
silversides,ATHE,Atherinidae,ATHE
trumpetfishes,AULO,Aulostomidae,AULO
triggerfishes,BALI,Balistidae,BALI
gray trigger,BALICA,Balistes capriscus,BALICA
black durgan,BALIIU,Melichthys niger,BALINI
black durgan,BALINE,Melichthys niger,BALINI
black durgan,BALINI,Melichthys niger,BALINI
ocean triggerfish,BALIPU,Canthidermis sufflamen,BALIPU
queen triggerfish,BALIVE,Balistes vetula,BALIVE
gar,BELO,Belone belone,BELO
Keeltail needlefish,BELOAR,Platybelone argalus argalus,BELOAR
g:tylososurus needlefish,BELOT,Tylosurus crocodilus,BELOT
queen triggerfish,BLAIVE,Balistes vetula,BALIVE
tilefishes,BRAN,Branchiostegidae,BRAN
unicorn tilefish,BRAN,Branchiostegidae,BRAN
jacks,CARA,Carangidae,CARA
yellow jack,CARABA,Carangoides bartholomaei,CARABA
rainbow runner,CARABI,Elagatis bipinnulata,CARABI
african pompano,CARACI,Alectis ciliaris,CARACI
african pompano,CARACI,Alectis ciliaris,CARACI
big eye scad,CARACR,Selar crumenophthalmus,CARACR
blue runner,CARACY,Caranx crysos,CARACY
amber jack,CARADU,Seriola dumerili,CARADU
permit,CARAFA,Trachinotus falcatus,CARAFA
comad,CARAFI,Seriola rivoliana,CARARI
crevalle jack,CARAFU,Caranx hippos,CARAHI
palometa,CARAGO,Trachinotus goodei,CARAGO
crevalle jack,CARAH,Caranx hippos,CARAHI
crevalle jack,CARAHI,Caranx hippos,CARAHI
horse eye jack,CARALA,Caranx latus,CARALA
black jack,CARALU,Caranx lugubris,CARALU
comad,CARAN,Seriola rivoliana,CARARI
round scad,CARAPU,Decapterus punctatus,CARAPU
almaco jack,CARARI,Seriola rivoliana,CARARI
bar jack,CARARU,Caranx ruber,CARARU
cottonmouth jack,CARASC,Uraspis secunda,CARASC
atlantic moonfish,CARAST,Selene setapinnis,CARAST
lookdown,CARAVO,Selene vomer,CARAVO
lemon shark,CARCBE,Negaprion brevirostris,CARCBE
tiger shark,CARCCU,Galeocerdo cuvier,CARCCU
blacktip shark,CARCLI,Carcharhinus limbatus,CARCLI
oceanic whitetip shark,CARCLO,Carcharhinus longimanus,CARCLO
sandbar shark,CARCMI,Carcharhinus plumbeus,CARCMI
caribbean reef shark,CARCPE,Carcharhinus perezii,CARCPE
caribbean sharpnose shark,CARCPO,Rhizoprionodon porosus,CARCPO
caribbean reef shark,CARCSP,Carcharhinus perezii,CARCPE
sand tiger shark,CARCTA,Charcharias taurus,CARCTA
black jack,CARRAFU,Caranx lugubris,CARALU
snooks,CENT,Centropomidae,CENT
butterflyfishes,CHAE,Chaetodontidae,CHAE
foureye butterflyfish,CHAECA,Chaetodon capistratus,CHAECA
spotfin butterflyfish,CHAEOC,Chaetodon ocellatus,CHAEOC
banded butterflyfish,CHAEST,Chaetodon striatus,CHAEST
turtles,CHEL,Cheloniidae,CHEL
hawksbill turtle,CHELIM,Eretmochelys imbricata,CHELIM
Atl green seaturtle,CHELMY,Chelonia mydas mydas,CHELMY
peacock bass,CICHOC,Cichla ocellaris,CICHOC
herrings,CLUP,Clupeidae,CLUP
conger eel,CONG,Conger oceanicus,CONGOC
"eel,conger",CONGOC,Conger oceanicus,CONGOC
manytooth conger,CONGTR,Conger triporiceps,CONGTR
dolphinfish,CORY,Coryphaena hippurus,CORYHI
dolphinfish,CORYHI,Coryphaena hippurus,CORYHI
flying gurnard,DACTVO,Dactylopterus volitans,DACTVO
stingrays,DASY,Dasyatidae,DASY
remora,ECHEMA,Echeneidae,ECHEMA
sharksucker,ECHENA,Echeneis naucrates,ECHENA
sharksucker,ECHERE,Echeneis naucrates,ECHENA
tarpon,ELOPAT,Megalops atlanticus,ELOPAT
Atlantic spadefish,EPHIFA,Chaetodipterus faber,EPHIFA
flyingfishes,EXOC,Exocoetidae,EXOC
monacanthidae,FILLET,Monacanthidae,FILLET
"jenny,silver",GERRGU,Eucinostomus gula,GERRGU
soapfishes,GRAM,Grammistidae,GRAM
caesar grunt,HACMCA,Haemulon carbonarium,HAEMCA
caesar grunt,HAECA,Haemulon carbonarium,HAEMCA
caesar grunt,HAELCA,Haemulon carbonarium,HAEMCA
grunts,HAEM,Haemulidae,HAEM
margate,HAEMAL,Haemulon album,HAEMAL
white margate,HAEMAL,Haemulon album,HAEMAL
black grunt,HAEMBO,Haemulon bonariense,HAEMBO
caesar grunt,HAEMCA,Haemulon carbonarium,HAEMCA
smalltooth grunt,HAEMCR,Haemulon chrysargyreum,HAEMCR
margate,HAEMEL,Haemulon album,HAEMAL
french grunt,HAEMF,Haemulon flavolineatum,HAEMFL
margate,HAEMFL,Haemulon album,HAEMAL
french grunt,HAEMFL,Haemulon flavolineatum,HAEMFL
sailors choice,HAEMFL,Haemulon parrai,HAEMPA
rock beauty,HAEMJA,Holacanthus tricolor,PCANTR
spanish grunt,HAEMMA,Haemulon macrostomum,HAEMMA
cottonwick,HAEMME,Haemulon melanurum,HAEMME
cottonwick,HAEMME,Haemulon melanurum,HAEMME
barred grunt,HAEMNO,Conodon nobilis,HAEMNO
classic grunt,HAEMOA,Hamemulidae,HAEM
sailors choice,HAEMPA,Haemulon parrai,HAEMPA
"grunt,white",HAEMPL,Haemulon plumieri,HAEMPL
blue striped grunt,HAEMSC,Haemulon sciurus,HAEMSC
"grunt,striped",HAEMST,Haemulon striatum,HAEMST
black margate,HAEMSU,Anisotremus surinamensis,HAEMSU
porkfish,HAEMVI,Anisotremus virginicus,HAEMVI
french grunt,HAEMVL,Hamemulidae,HAEMFL
french grunt,HEAMFL,Haemulon flavolineatum,HAEMFL
caesar grunt,HEMCA,Haemulon carbonarium,HAEMCA
balao,HEMIBA,Hemiramphus balao,HEMIBA
ballyhoo,HEMIBR,Hemiramphus brasiliensis,HEMIBR
squirrelfishes,HOLO,Holocentridae,HOLO
squirrelfish,HOLOAD,Holocentrus adscensionis,HOLOAD
"soldierfish,blackbar",HOLOJA,Myripristis jacobus,HOLOJA
"squirrelfish,longspine",HOLORU,Holocentrus rufus,HOLORU
marlins,ISTI,Istiophoridae,ISTI
white marlin,ISTIAB,Kajikia albida,ISTIAB
blue marlin,ISTINI,Makaira nigricans,ISTINI
sailfish,ISTIPL,Istiophorus platypterus,ISTIPL
bermuda chub,KYPHSE,Kyphosus sectatrix,KYPHSE
spanish hogfish,LABBRU,Bodianus rufus,LABBRU
wrasses,LABR,Labridae,LABR
spanish hogfish,LABRAU,Bodianus rufus,LABBRU
spanish hogfish,LABRIU,Bodianus rufus,LABBRU
spanish hogfish,LABRIU,Bodianus rufus,LABBRU
hogfish,LABRMX,Lachnolaimus maximus,LABRMX
creole wrasse,LABRPA,Clepticus parrae,LABRPA
spotfin hogfish,LABRPU,Bodianus pulchellus,LABRPU
puddingwife,LABRRA,Halichoeres radiatus,LABRRA
"hogfish,spanish",LABRRU,Bodianus rufus,LABBRU
squid,LOLI,Loliginidae,LOLI
snapper,LUTJ,Lutjanidae,LUTJ
vermillion snapper,LUTJAM,Rhomboplites aurorubens,LUTJAU
mahogany snapper,LUTJAMA,Lutjanus mahogoni,LUTJMA
mutton snapper,LUTJAN,Lutjanus analis,LUTJAN
 schoolmaster snapper,LUTJAP,Lutjanus apodus,LUTJAP
wenchman,LUTJAQ,Pristipomoides aquilonaris,LUTJAQ
vermilion snapper,LUTJAU,Rhomboplites aurorubens,LUTJAU
blackfin snapper,LUTJBU,Lutjanus buccanella,LUTJBU
red snapper,LUTJCA,Lutjanus campechanus,LUTJCA
yellowtail snapper,LUTJCH,Ocyurus chrysurus,LUTJCH
cubera snapper,LUTJCY,Lutjanus cyanopterus,LUTJCY
black snapper,LUTJDE,Apsilus dentatus,LUTJDE
gray snapper,LUTJGR,Lutjanus griseus,LUTJGR
dog snapper,LUTJJJO,Lutjanus jocu,LUTJJO
dog snapper,LUTJJO,Lutjanus jocu,LUTJJO
snapper,LUTJL,Lutjanidae,LUTJ
mahogany snapper,LUTJMA,Lutjanus mahogoni,LUTJMA
queen snapper,LUTJOC,Etelis oculatus,LUTJOC
dog snapper,LUTJOC,Lutjanus jocu,LUTJJO
southern red snapper,LUTJPU,Lutjanus purpureus,LUTJPU
yellowtail snapper,LUTJSCH,Ocyurus chrysurus,LUTJCH
lane snapper,LUTJSY,Lutjanus synagris,LUTJSY
silk snapper,LUTJVI,Lutjanus vivanus,LUTJVI
gray snapper or uku,LUTJVS,Aprion virescens,LUTJVS
lane snapper,LUTJVSY,Lutjanus synagris,LUTJSY
lane snapper,LUTSY,Lutjanus synagris,LUTJSY
dog snapper,LUTTJO,Lutjanus jocu,LUTJJO
silk snapper,LUTVI,Lutjanus vivanus,LUTJVI
sand tilefish,MALAPL,Malacanthus plumieri,MALAPL
white spotted tilefish,MANAMA,Cantherhines macrocerus,MONAMA
indian crown conch,MELOME,Melongena melongena,MELOME
white spotted tilefish,MONAMA,Cantherhines macrocerus,MONAMA
orangespot filefish,MONAPU,Cantherhines pullus,MONAPU
orange filefish,MONASC,Aluterus schoepfii,MONASC
scrawled filefish,MONASR,Aluterus scriptus,MONASR
scrawled filefish,MONESR,Aluterus scriptus,MONASR
scrawled filefish,MONOSR,Aluterus scriptus,MONASR
mullets,MUGI,Mugilidae,MUGI
"mullet,white",MUGICU,Mugil curema,MUGICU
goatfish,MULL,Mullidae,MULL
yellow goatfish,MULLMA,Mulloidichthys martinicu,MULLMA
spotted goatfish,MULLMC,Pseudupeneus maculatus,MULLMC
dwarf goatfish,MULLPA,Upeneus parvus,MULLPA
morays,MURA,Muraenidae,MURA
green moray,MURAFU,Gymnothorax funebris,MURAFU
spotted moray,MURAMO,Gymnothorax moringa,MURAMO
staut moray,MURARO,Muraena robusta,MURARO
purplemouth moray,MURAVI,Gymnothorax vicinus,MURAVI
mixed fish,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
no catch,NA,NA,NA
no catch ,NA,NA,NA
no catch - came back in because current was too strong,NA,NA,NA
no catch due to strong current,NA,NA,NA
no data,NA,NA,NA
no data ,NA,NA,NA
no data collected,NA,NA,NA
none,NA,NA,NA
unknown,NA,NA,NA
NA,NO CATCH,NA,NO CATCH
dolphinfish,NO DATA,NA,NO DATA
no data collected,NO DATA COLLECTED,NA,NO DATA
no fish caught,NOFISH,NA,NO CATCH
carib reef octopus,OCTOBR,Octopus briareus,OCTOBR
octopus,OCTOO,Octopus spp,OCTOO
common octopus,OCTOVU,Octopus vulgaris,OCTOVU
batfishes,OGCO,Ogcocephalidae,OGCO
nurse shark,ORECCI,Ginglymostoma cirratum,ORECCI
spotted trunkfish,OSTRBI,Lactophrys bicaudalis,OSTRBI
honeycomb cowfish,OSTRPO,Acanthostracion polygonius,OSTRPO
trunkfish,OSTRPR,Lactophrys trigonus,OSTRTR
scrawled cowfish,OSTRQU,Acanthostracion quadricornis,OSTRQU
smooth trunkfish,OSTRTI,Lactophrys triqueter,OSTRTI
trunkfish,OSTRTR,Lactophrys trigonus,OSTRTR
honeycomb cowfish,OSTRYO,Acanthostracion polygonius,OSTRPO
honeycomb cowfish,OTSRPO,Acanthostracion polygonius,OSTRPO
rock beauty,PACANTR,Holacanthus tricolor,PCANTR
spiny lobster,PALI,Palinuridae,PALI
caribbean spiny lobster,PALIAR,Panulirus argus,PALIAR
spiny lobster,PALICAN,Palinuridae,PALI
spotted spiny lobster,PALIGU,Panulirus guttatus,PALIGU
angelfishes,PCAN,Pomachanthidae,PCAN
gray angelfish,PCANAR,Pomacanthus arcuatus,PCANAR
blue angelfish,PCANBE,Holacanthus bermudensis,PCANBE
queen angelfish,PCANCI,Holacanthus ciliaris,PCANCI
gray angelfish,PCANCR,Pomacanthus arcuatus,PCANAR
french angelfish,PCANPA,Pomacanthus paru,PCANPA
rock beauty,PCANTR,Holacanthus tricolor,PCANTR
butterfishes,PEPR,Stromateidae,PEPR
butterfish,PEPRTR,Peprilus triacanthus,PEPRTR
caribbean spiny lobster,PLAIAR,Panulirus argus,PALIAR
damselfishes,POMC,Pomacentridae,POMC
yellowtail damselfish,POMCCH,Microspathodon chrysurus,POMCCH
sergeant major,POMCSA,Abudefduf saxatilis,POMCSA
"sergeant,night",POMCTA,Abudefduf taurus,POMCTA
"crab,speckled swimmin",PORTCR,Arenaeus cribrarius,PORTCR
pot fish,POT,unknown,POT
robin (sprat),POT,unknown,POT
sprat,POT,unknown,POT
rockfish,POT,unknown,POT
mixed fish,POT,unknown,POT
snit,POT,unknown,POT
bungi (atlantic bigeye),PRIA,Priacanthus arenatus,PRIAAR
bungi (atlantic bigeye),PRIAAR,Priacanthus arenatus,PRIAAR
glasseye snapper,PRIACR,Heteropriacanthus cruentatus,PRIACR
glasseye snapper,PRIAR,Priacanthus cruentatus,PRIACR
queen angelfish,PSCANCI,Holacanthus ciliaris,PCANCI
lionfish,PTERVO,Pterois volitans,PTERVO
parrotfishes,SCAR,Scaridae,SCAR
redband parrotfish,SCARAU,Sparisoma aurofrenatum,SCARAU
blue parrotfish,SCARCCO,Scarus coeruleus,SCARCO
midnight parrotfish,SCARCE,Scarus coelestinus,SCARCE
redtail parrotfish,SCARCH,Sparisoma chrysopterum,SCARCH
blue parrotfish,SCARCO,Scarus coeruleus,SCARCO
striped parrotfish,SCARCR,Scarus iseri,SCARCR
rainbow parrotfish,SCARGU,Scarus guacamaia,SCARGU
blue parrotfish,SCARRO,Scarus coeruleus,SCARCO
redfin parrotfish,SCARRU,Sparisoma rubripinne,SCARRU
princess parrotfish,SCARTA,Scarus taeniopterus,SCARTA
queen parrtofish,SCARVE,Scarus vetula,SCARVE
stoplight parrotfish,SCARVI,Sparisoma viride,SCARVI
drums,SCIA,Sciaenidae,SCIA
jackknife-fish,SCIALA,Equetus lanceolatus,SCIALA
gulf kingfish,SCIALI,Menticirrhus littoralis,SCIALI
gulf kingfish,SCIALU,Menticirrhus littoralis,SCIALI
spotted drum,SCIAPU,Equetus punctatus,SCIAPU
striped croaker,SCIASA,Corvula sanctaeluciae,SCIASA
mackerels & tunas,SCOM,Scombridae,SCOM
tuna,SCOM,Scombridae,SCOM
albacore tuna,SCOMAA,Thunnus alalunga,SCOMAA
yellowfin tuna,SCOMAB,Thunnus albacares,SCOMAB
little tunny,SCOMAL,Euthynnus alletteratus,SCOMAL
blackfin tuna,SCOMAT,Thunnus atlanticus,SCOMAT
tuna,SCOMBI,Thunnus sp.,SCOMT
spanish mackeral,SCOMBR,Scomberomorus maculatus,SCOMBR
king mackeral,SCOMCA,Scomberomorus cavalla,SCOMCA
tuna,SCOMF,Thunnus sp.,SCOMT
spanish mackerel,SCOMMA,Scomberomorus maculatus,SCOMMA
skipjack tuna,SCOMPE,Katsuwonus pelamis,SCOMPE
ceco makeral,SCOMRE,Scomberomorus regalis,SCOMRE
atlantic bonito,SCOMSA,Sarda sarda,SCOMSA
wahoo,SCOMSO,Acanthocybium solandri,SCOMSO
tuna,SCOMT,Thunnus sp.,SCOMT
bluefin tuna,SCOMTH,Thunnus thynnus,SCOMTH
slipper lobster,SCYL,Scyllaridae,SCYL
sculp slipper,SCYLAN,Parribacus antarcticus,SCYLAN
coney,SERFFU,Cephalopholis fulva,SERRFU
sea basses,SERR,Serranidae,SERR
rock hind,SERRAD,Epinephelus adscensionis,SERRAD
black grouper,SERRBO,Mycteroperca bonaci,SERRBO
graysby,SERRCR,Cephalopholis cruentata,SERRCR
groupers g:dermatolep,SERRD,Dermatolepis  spp,SERRD
"groupers,g:epin.",SERRE,Epinephelus  spp,SERRE
red hind,SERRFGU,Epinephelus guttatus,SERRGU
coney,SERRFI,Cephalopholis fulva,SERRFU
creole fish,SERRFR,Paranthias furcifer,SERRFR
coney,SERRFU,Cephalopholis fulva,SERRFU
red hind,SERRGU,Epinephelus guttatus,SERRGU
red grouper,SERRMO,Epinephelus morio,SERRMO
nassau grouper,SERRSF,Epinephelus striatus,SERRST
nassau grouper,SERRST,Epinephelus striatus,SERRST
tiger grouper,SERRTI,Mycteroperca tigris,SERRTI
yellowfin grouper,SERRVE,Mycteroperca venenosa,SERRVE
yellowfin grouper,SERVE,Mycteroperca venenosa,SERRVE
jolthead porgy,SPARBA,Calamus bajonado,SPARBA
"porgy,g:calamus",SPARC,Calamus spp,SPARC
saucereye porgy,SPARCA,Calamus calamus,SPARCA
sea bream,SPARCH,Archosargus rhomboidalis,SPARRH
sea bream,SPAROCH,Archosargus rhomboidalis,SPARRH
pluma porgy,SPARPN,Calamus pennatula,SPARPN
sea bream,SPARRH,Archosargus rhomboidalis,SPARRH
pinfish,SPARRO,Lagodon rhomboides,SPARRO
scaloped hammerhead shark,SPHRLE,Sphyrna lewini,SPHRLE
great hammerhead shark,SPHRMO,Sphyrna mokarran,SPHRMO
barracuda,SPHY,Sphyraenidae,SPHY
great barracuda,SPHYBA,Sphyraena barracuda,SPHYBA
"sennet,southern",SPHYPI,Sphyraena picudilla,SPHYPI
"sharks,unclassified",SQUA,Squalidade,SQUA
queen conch,STROGI,Strombus gigas,STROGI
lizardfishes,SYNO,Synodontidae,SYNO
NA,,NA,NA
NA,,NA,NA
NA,,NA,NA
NA,,NA,NA
